20210126,罗湖区,布心,次新小区靠山安静，电梯小高层低密度，户型好精装修.,330万,中楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 48.35平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_RwYH1RFGt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一住宅 户型方正实用 低楼层,500万,低楼层                                    (共9层)                                                                      | 1988年建 |                                3室1厅 | 61.37平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_QVcKptXpq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,户型方正，使用率高，楼层视野好,630万,中楼层                                    (共8层)                                                                      | 1987年建 |                                2室1厅 | 75.24平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_FN9yeXUwk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,东湖豪庭中层景观房，精装修，满五唯一，看房方便,1090万,中楼层                                    (共27层)                                                                      | 2001年建 |                                4室2厅 | 159.98平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_zzUmXFQQ2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,逸心苑：正南向三房，电梯小高层，地铁口100米,490万,低楼层                                    (共13层)                                                                      | 2002年建 |                                3室1厅 | 76.76平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_pijsGaHPj.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,颖隆大厦 1室0厅 北,165万,低楼层                                    (共33层)                                                                      | 2003年建 |                                1室0厅 | 32.48平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_A9zsUhuaY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,翠园东晓为邻  满五年唯一红本在手，户型方正新上,930万,中楼层                                    (共11层)                                                                      | 1999年建 |                                3室2厅 | 97.29平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_oEPwTVDjA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,绿景山庄 3室2厅 南 北,808万,高楼层                                    (共9层)                                                                      | 2009年建 |                                3室2厅 | 104.6平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_JpN0U8AEt.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五 红本在手 精装修税费低 诚心出售必看好房,435万,低楼层                                    (共17层)                                                                      | 2004年建 |                                1室1厅 | 36.47平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_TUrNJIJ66_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五税费少，雍翠华府居家三房业主诚心卖,560万,中楼层                                    (共32层)                                                                      | 2004年建 |                                3室1厅 | 75.67平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_g0xLRS3uh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五唯一税费少，中间楼层，朝南向，居住安静舒适,515万,高楼层                                    (共7层)                                                                      | 1997年建 |                                2室1厅 | 73.1平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_9f80dOlky_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五唯一 税费少 户型好，采光好,550万,高楼层                                    (共8层)                                                                      | 1992年建 |                                3室1厅 | 71.95平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_MTq55xzTn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一大两房，业主诚心出售，看房方便。,590万,低楼层                                    (共7层)                                                                      | 1997年建 |                                2室1厅 | 78.74平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_4BJVZmNmd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年，业主红本的，公摊小，使用率高，优质三房必看好房,350万,中楼层                                    (共7层)                                                                      | 1999年建 |                                3室2厅 | 76.5平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_k3o11x1Ye_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,视野采光好，居家舒适，业主诚心出售,680万,中楼层                                    (共20层)                                                                      | 2005年建 |                                3室2厅 | 99.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_iQnstO5ky_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,高楼层 低总价 满五年 诚心出售必看好房,248万,高楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 52.27平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_puoObQQMd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,明年七月满五年，颖隆大厦小户型低总价,155万,高楼层                                    (共33层)                                                                      | 2003年建 |                                1室0厅 | 32.48平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_1vsy6INb3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,明年一月份满五唯一，高层西北向改多了间房，自住装修,468万,高楼层                                    (共33层)                                                                      | 2009年建 |                                2室1厅 | 75.26平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_z8gzH3nix_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一电梯房，带50平米露台，楼栋位置好户型上乘，必看好房,500万,低楼层                                    (共9层)                                                                      | 1988年建 |                                2室1厅 | 61.28平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_pHrwA4kYh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经理推荐  花半里别馆  满两年  精装修  看山,465万,低楼层                                    (共23层)                                                                      | 2008年建 |                                3室1厅 | 71.35平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_gf6c6f97t_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满5年 傍山物业  花园小区  人车分流,510万,中楼层                                    (共34层)                                                                      | 2003年建 |                                2室2厅 | 66.18平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Vr9asLGFF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,翠园大三房，户型方正，适合居家,765万,中楼层                                    (共5层)                                                                  3室2厅 | 97.34平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_6d0g86NxM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,业主诚心出售、户型采光佳、单价与总价比较不错,1163万,低楼层                                    (共32层)                                                                      | 2006年建 |                                4室1厅 | 172.83平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_N8Owy8lWy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,客厅出阳台的，客厅带阳台，厨房带有一个生活阳台,460万,中楼层                                    (共33层)                                                                      | 2009年建 |                                2室1厅 | 72.6平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/pc1_XMJ32soRc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一 高楼层 光线视野好看围岭山必看好房,360万,高楼层                                    (共35层)                                                                      | 2004年建 |                                2室1厅 | 44.29平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_AW8ZgJ4GZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五年税费少 装修不错 楼层好,570万,高楼层                                    (共26层)                                                                      | 2008年建 |                                3室2厅 | 62.48平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ClmYMne9R_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一，红本。采菊草埔下，悠然见围岭山。,190万,高楼层                                    (共33层)                                                                      | 2003年建 |                                1室1厅 | 34.7平米                                  | 西 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_kO2bdU3cZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,金迪名苑 优质一房一厅 业主诚心出售,466万,高楼层                                    (共17层)                                                                      | 2004年建 |                                1室1厅 | 35.37平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_5MU3F2srN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一花园式小区，靠山物业业主诚心出售,450万,中楼层                                    (共8层)                                                                      | 1999年建 |                                2室2厅 | 76.98平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_bj7mifI78_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,业主满五唯一红本在手，诚心出售,515万,中楼层                                    (共9层)                                                                      | 1988年建 |                                2室1厅 | 64.04平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_6aLKbfXTe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,5栋高楼层！精装修视野无遮挡，格局实用，诚心卖！必看好房,688万,高楼层                                    (共32层)                                                                      | 2002年建 |                                2室1厅 | 71.96平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_mwjQhebS6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,罗湖2009年花园小区  满五年唯一  自住朝南两房 红本,305万,中楼层                                    (共32层)                                                                      | 2009年建 |                                2室1厅 | 46.84平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_dNCUzHsu4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一，无增值税，伴山小区，居家舒适，业主诚心卖,818万,低楼层                                    (共34层)                                                                      | 2003年建 |                                3室2厅 | 98.57平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_rOzk0nuls_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,布心花园二区 2室1厅 南,690万,高楼层                                    (共7层)                                                                      | 1988年建 |                                2室1厅 | 85.9平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_zBRxBI2Tv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,店长推荐，满五年红本在手南向采光好,620万,中楼层                                    (共7层)                                                                      | 1990年建 |                                2室1厅 | 72.42平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_3R9zQ8yAW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,封闭小区、环境优美、空气清新、高层大面积五房,1700万,高楼层                                    (共32层)                                                                      | 2014年建 |                                5室2厅 | 245平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_ZSmGl0IWC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,带翠园东晓，17年次新楼盘，户型方正，地铁口物业,920万,低楼层                                    (共17层)                                                                      | 2016年建 |                                3室1厅 | 118.05平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_8k3HtRvZZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一 东南朝向  近地铁  低楼层,298万,低楼层                                    (共7层)                                                                      | 2000年建 |                                2室1厅 | 42.55平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_9jY1sxxcs.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五唯一，中层，视野广阔，业主诚心放卖,961.3万,中楼层                                    (共32层)                                                                      | 2002年建 |                                3室1厅 | 97.38平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_htLm4YHCG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年无增值税 花园小区 2梯3户 车位充足 户型方正必看好房,760万,中楼层                                    (共17层)                                                                      | 2016年建 |                                3室2厅 | 89.69平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_rQR6xWMtU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年，业主红本在手，居家舒适，靠山小区。,550万,中楼层                                    (共7层)                                                                      | 1993年建 |                                3室2厅 | 88.69平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_9TPn1vslo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五，好出租一手业主，户型方正，高品质楼盘必看好房,285万,低楼层                                    (共32层)                                                                      | 2009年建 |                                1室1厅 | 46.75平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_OgUxuwsq6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,淘金山 · 湖景花园二期 3室1厅 南 北,1100万,低楼层                                    (共32层)                                                                      | 2012年建 |                                3室1厅 | 146.25平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Nr59Y4fZU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五，房子是厅出阳台的大两房 居住舒适度高,510万,高楼层                                    (共7层)                                                                      | 1998年建 |                                2室1厅 | 67.11平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_Lr7IKcen5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,花半里别馆两房 朝东南大阳台 业主诚心卖必看好房,335万,高楼层                                    (共23层)                                                                      | 2008年建 |                                2室1厅 | 57.12平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_UsifmK6VH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一 小区环境优越 精装保养好拎包入住！,970万,中楼层                                    (共32层)                                                                      | 2014年建 |                                4室2厅 | 130.34平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ECTroupIy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一，红本在手，住家安静小区，适合住家。,450万,高楼层                                    (共19层)                                                                      | 2004年建 |                                2室1厅 | 63平米                                  | 西北 北,http://ke-image.ljcdn.com/110000-inspection/pc1_FKzLDALrP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年 税费少 业主诚心卖 户型方正,469.8万,中楼层                                    (共32层)                                                                      | 2009年建 |                                2室1厅 | 76.99平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_u28Fmejwp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,品质刚需两房！环境清静空气好，高层看山！满五唯一！,530万,高楼层                                    (共34层)                                                                      | 2003年建 |                                2室1厅 | 66.18平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_tmbrNJKGH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,精装两房 满五年无增值税 楼梯中低层 诚心出售,480万,高楼层                                    (共7层)                                                                      | 1990年建 |                                2室1厅 | 58.93平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_n8XLVK4X9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五年 税费少 业主自己住 靠山安静,480万,中楼层                                    (共23层)                                                                      | 2008年建 |                                3室1厅 | 72.09平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_8xK31tsUp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,花半里2房，满五唯一，税费少，小区配套好。,380万,低楼层                                    (共23层)                                                                      | 2008年建 |                                2室1厅 | 61.01平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_mc6JF1eWl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,淘金山 · 湖景花园二期 4室1厅 南,1400万,中楼层                                    (共32层)                                                                      | 2012年建 |                                4室1厅 | 150平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_xItbnEbzm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,新小区业主诚心卖，看房方便！.,400万,中楼层                                    (共23层)                                                                      | 2008年建 |                                2室1厅 | 65.98平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Is3m6H7ib_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,淘金山湖景花园，大社区绿化好，三面环山，看东湖,1190万,中楼层                                    (共31层)                                                                      | 2012年建 |                                4室1厅 | 149.51平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_00lufb8ov_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,总监推荐 松泉公寓  精装修 低楼层 看房方便 朝南,435万,低楼层                                    (共8层)                                                                      | 1988年建 |                                2室1厅 | 51.78平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_8CDdkI895_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,水贝商圈，楼梯房，使用高，翠园东晓,470万,高楼层                                    (共7层)                                                                      | 1990年建 |                                3室1厅 | 57.05平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_wWr6QKkVp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一 朝东精装修 光线视野好,515万,中楼层                                    (共35层)                                                                      | 2004年建 |                                2室2厅 | 68.73平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_bo4Mfd1SK.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经理推荐，此房安静靠山，业主诚心出售。,450万,中楼层                                    (共10层)                                                                      | 2004年建 |                                2室1厅 | 70.66平米                                  | 东南 西南,http://ke-image.ljcdn.com/110000-inspection/bbe59906-edf8-48db-aa88-0731b159ea86_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满两年，高楼层，视野好，采光足，交通便利,360万,高楼层                                    (共26层)                                                                      | 1996年建 |                                2室1厅 | 67.76平米                                  | 北 南,http://ke-image.ljcdn.com/110000-inspection/pc1_xXY60GYTb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一，红本在手，花园小区，人车分流，税费低,480万,中楼层                                    (共21层)                                                                      | 2002年建 |                                2室1厅 | 66.82平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_1dVDebVB9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五税费少，红本在手，业主诚心卖，看房方便,258万,高楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 54.5平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_SE5yHmurp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,罗湖看山两房 花园小区 安于小区中庭 满五年无抵押,410万,低楼层                                    (共35层)                                                                      | 2004年建 |                                2室1厅 | 51.47平米                                  | 东南 东,http://ke-image.ljcdn.com/110000-inspection/pc1_HjF2z7lHJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五唯一税费少，厅出阳台，翠园名校。,603万,中楼层                                    (共34层)                                                                      | 2003年建 |                                2室2厅 | 73.81平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_uDqitaVhO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,雍翠华府，带大花园社区，小区环境很美,450万,中楼层                                    (共35层)                                                                      | 2004年建 |                                2室1厅 | 51.47平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_IygIfqk3W_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,户型楼层俱佳，房号好，一路發，大花园社区，地铁物业,568万,中楼层                                    (共34层)                                                                      | 2003年建 |                                2室1厅 | 66.18平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_T3uXqNZll.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子是满五年唯一红本在手的，业主自住,780万,中楼层                                    (共12层)                                                                      | 2006年建 |                                2室1厅 | 75.59平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_AliIDz1sf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,诚心换房，旁边有8层购物商场。近公园。,460万,中楼层                                    (共33层)                                                                      | 2009年建 |                                2室1厅 | 72.63平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_f5p3oZBo7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五年，红本在手，税费少，自如全新装修,258万,高楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 52.57平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_WKtoc3gfw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五年，红本在手，税费少，装修保养好，适合居家,258万,高楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 52.27平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_uc6vB4Dle_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年，精装修，适合刚需过度，低总价两房，近地铁,260万,中楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 52.62平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_vgIXZM7nZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,彩世界朝东三房，满五唯一，税费少，看房方便！必看好房,548万,低楼层                                    (共31层)                                                                      | 2002年建 |                                3室1厅 | 90.62平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_dMzL8aiuY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,彩世界精装2房，朝南向无遮挡，采光充足,490万,中楼层                                    (共23层)                                                                      | 2002年建 |                                2室1厅 | 72.81平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Sl8pSoEkF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,长富花园 2室1厅 西北,520万,高楼层                                    (共7层)                                                                      | 1997年建 |                                2室1厅 | 50.42平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_IP7rWy8ft_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,绿景山庄满五年免增值税 户型方正，通透，使用率高,560万,高楼层                                    (共8层)                                                                      | 1999年建 |                                3室1厅 | 92.36平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_6sCeGBOvS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,罗湖水贝珠宝商圈居家大三房，满五年红本在手,480万,高楼层                                    (共31层)                                                                      | 2002年建 |                                3室1厅 | 100.45平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_6oLvcQ8Od_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
