20210126,大鹏新区,大鹏半岛,鹏海苑小区 1室1厅 南,138万,低楼层                                    (共6层)                                                                      | 2006年建 |                                1室1厅 | 48.58平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_UmxWdz4oR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 葵涌 海语山林  大两房 精装  业主自住的新上,270万,中楼层                                    (共17层)                                                                      | 2009年建 |                                2室2厅 | 67.39平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_bpedXb1LS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,安静宜居 满五年，税费少。社区大 。,386万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 82.57平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_gv1vUCItl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,已满五年 大鹏品质社区 标准4房 楼层好,460万,高楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 87.32平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_BXsqBCgDc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰陶柏莉，南北通透精装大三房，业主有心卖看房方便,498万,中楼层                                    (共28层)                                                                      | 2016年建 |                                3室2厅 | 104.18平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_kZBt62pad_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五，中高楼层，此房业主诚心出售。,100万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_NPb173gCu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,东南朝向2房满五唯一，绿化环境好，空气清新,看房方便,275万,中楼层                                    (共17层)                                                                      | 2009年建 |                                2室2厅 | 79平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_T0rQpdWLM.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 葵涌 德华花园 大三房 满五 红本在手 带装修,250万,高楼层                                    (共5层)                                                                      | 1995年建 |                                3室2厅 | 105.57平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_YGnGTURqI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 金众云山栖 满五年 业主诚心卖,350万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 83.04平米                                  | 东南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_6XrhOUUrG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,中上楼层，大三房在阳台，视野宽阔,420万,高楼层                                    (共30层)                                                                      | 2016年建 |                                3室2厅 | 88.42平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_r18pKTQDV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,金众云山栖 4室2厅 南,480万,低楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 89.01平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_lirVYaCAu.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房满5，红本在手。大社区，低密度，居住环境舒适,330万,低楼层                                    (共17层)                                                                      | 2009年建 |                                3室2厅 | 86.76平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_h2UrCztKx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,房子格局实用，精装修，出租自住皆可，配套设施齐,135万,低楼层                                    (共16层)                                                                      | 2013年建 |                                1室2厅 | 47.06平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_EUbMnZE3J_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 葵涌 金众云山栖 三房 满五年 看房有钥匙,340万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 82.37平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_WG5AQlAhv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,东南 3房 看葵涌全景 满五 毛坯未用的 有钥匙随时看房必看好房,340万,低楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 82.35平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_eUSZGERDr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海 一房一厅出售 可看海景 环境优美 满五唯一,118万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_kmODLwJWX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 葵涌 半山海 看海景 单间 满五唯一,102万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_bZUK0W6kg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,已满五年，此房总价低费用少户型实用看山看海即买即住,128万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_LAbApqOjd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,云山栖 88平标准4房2卫 朝南向 诚心卖,480万,中楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 88.94平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/pc1_NZbGZbMRK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,全新毛坯 花园小区 户型方正 朝南 可看风景,380万,高楼层                                    (共30层)                                                                      | 2016年建 |                                3室2厅 | 88.42平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_9BKGVRXHQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,全新花园小区 三房两厅户型方正 朝南 可看山风景,400万,高楼层                                    (共31层)                                                                      | 2016年建 |                                3室2厅 | 88.38平米                                  | 南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_Um9ZTMFTK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏 佳兆业广场一房诚售总价低费用少即买即住！,135万,低楼层                                    (共17层)                                                                      | 2013年建 |                                1室0厅 | 50.1平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_B9PRazRgZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,海语山林 安静的小区绿化好，环境好，适合住家,270万,低楼层                                    (共17层)                                                                      | 2009年建 |                                3室1厅 | 86平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_fcCMw3yKX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海2梯4户 86平总价238万 一线海景大2房，必看好房,225万,中楼层                                    (共16层)                                                                      | 2015年建 |                                2室1厅 | 86.2平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_h1RGzCNtC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,业主诚心出售 一线海景 户型方正 采光充足 视野好必看好房,88万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室0厅 | 36.45平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_KpfIMspaO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房总价低费用少户型实用配套完善，带装修，看花园,230万,低楼层                                    (共18层)                                                                      | 2013年建 |                                2室1厅 | 75.77平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_8kt95k6fK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,云山栖精装两房出售 朝南向 看房方便,360万,高楼层                                    (共33层)                                                                      | 2016年建 |                                2室2厅 | 61.76平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_uArN89tKd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 KPR佳兆业广场 满五唯一 精装修,135万,低楼层                                    (共16层)                                                                      | 2013年建 |                                1室2厅 | 46.98平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_HFGT9sR7p_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰半山海一线海景花园大2房，马上满五年税费少,250万,中楼层                                    (共16层)                                                                      | 2015年建 |                                2室1厅 | 86.2平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/test-e0f6d76c-5e82-4bc0-a771-24c53ff61e3b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 葵涌 金众云山栖 大两房 精装修 诚心卖,290万,高楼层                                    (共33层)                                                                      | 2016年建 |                                2室1厅 | 63.07平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_TBCn1gRNj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,南北通3房，朝南，看花园，视野好，无遮挡，毛坯,390万,高楼层                                    (共33层)                                                                      | 2016年建 |                                3室1厅 | 83.06平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_yhtcvGVXU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,带别墅的高档小区，前看海后靠山的小户型总价低,120万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室0厅 | 36.35平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_FtO9MmXoR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大社区 远离闹市 安静舒适 高拓展.,360万,高楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 83.05平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_YRegAnqjD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,海语山林 2室2厅 南,239万,中楼层                                    (共17层)                                                                      | 2009年建 |                                2室2厅 | 67.39平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_f1FuoTCGw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大社区，低密度，难得的大户型，装修很好,410万,高楼层                                    (共18层)                                                                      | 2009年建 |                                4室2厅 | 141.54平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_x9qU9rQAa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,鑫园广场 精装大3房，屋里保养好还很新。,335万,中楼层                                    (共12层)                                                                  3室2厅 | 116.03平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OeFo8UbnD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 金众云山栖  带装修 两房 业主诚心卖,285万,高楼层                                    (共33层)                                                                      | 2016年建 |                                2室2厅 | 61.17平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_7U0qu9iSc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 鹏海苑  总价便 宜  业主自住 保养好,205万,低楼层                                    (共6层)                                                                      | 2007年建 |                                2室2厅 | 76.15平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_UhmZpqHpT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,南北通3房，朝南，看花园，视野好，无遮挡，毛坯,400万,高楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 87.22平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_P5qxVKjDl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满四年了，89平米三房，双卫双阳台,500万,高楼层                                    (共28层)                                                                      | 2016年建 |                                3室2厅 | 89.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/24c1cdcc-d029-4556-96a7-312030e84149_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,70年产权的住宅，精装修小户型，视野好，看山看海,90万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_g4nS5oeRk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,一线海景享受型两居室刚需上车必看好房必看好房,205万,中楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 59.86平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_VGVrLJ4Kf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,一线海景享受型两居室刚需上车必看好房,230万,中楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 59.86平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_81AsNGiYu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,成熟小区海语山林 ，小区绿化好，环境好，适合住家,393万,低楼层                                    (共18层)                                                                      | 2009年建 |                                4室2厅 | 124.47平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_QS6N8xHnY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 金众云山栖  南北 通 四 房 看房钥匙在手,450万,高楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 87.41平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_fx5JAHlX0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区葵涌海语山林园房子保养,265万,高楼层                                    (共17层)                                                                      | 2009年建 |                                2室2厅 | 71.24平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_KFaCAbxHS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,好户型，超长大阳台，看别墅，业主诚心出售,398万,中楼层                                    (共31层)                                                                      | 2016年建 |                                3室2厅 | 88.38平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_lCNWKB1XF.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏佳兆业广场单房诚售，总价低费用少，即买即住！,100万,高楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 44.71平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-13e78b01-c876-4817-9d08-614c2f95490a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房总价低费用少户型实用配套完善！,150万,高楼层                                    (共16层)                                                                      | 2013年建 |                                1室0厅 | 47.06平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_11udcc15F_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满二年 红本在手 业主诚心出售。,155万,低楼层                                    (共3层)                                                                  1室1厅 | 68.41平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OvcO0vxnr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,2016年新小区 ， 一手业主，满两年，税费少,400万,低楼层                                    (共24层)                                                                      | 2016年建 |                                3室2厅 | 88.35平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_fRy64O0NV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,半山海 小户型  看山看海   业主诚心卖,110万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室0厅 | 36.35平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/prod-86d6277b-8739-4529-b9a3-2e00a21ea597.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,半山海  高楼层  端头位 可以看海,100万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_BNa22znm4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,承翰陶柏莉，精装两房高层，采光环境好，看房方便,400万,高楼层                                    (共30层)                                                                      | 2016年建 |                                2室1厅 | 72.78平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_waqFImgsO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房总价低，费用少户型实用全南向配套完善,95万,中楼层                                    (共17层)                                                                      | 2013年建 |                                1室2厅 | 44.74平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_jfcKyuZ6n_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房采光通风 视野好，装修好 实用,123万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室0厅 | 36.35平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_ckaOe0i7Y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房位于大鹏半岛，KPR佳兆业广场。,130万,中楼层                                    (共17层)                                                                      | 2013年建 |                                1室1厅 | 47.16平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_DoIogaTOi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区   佳兆业广场 带装修  交通 配套齐全,150万,中楼层                                    (共17层)                                                                      | 2013年建 |                                1室1厅 | 57.32平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_cBPtxGGMj.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大阳台 精装修 通风采光好 户型比较实用,135万,中楼层                                    (共16层)                                                                      | 2013年建 |                                1室1厅 | 50平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_N3XXjL1jH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,德华花园，满二，三改四房，你值得拥用,290万,中楼层                                    (共5层)                                                                      | 1995年建 |                                4室2厅 | 105.57平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_z4SqlJghr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,KPR佳兆业广场 1室1厅 南,200万,高楼层                                    (共16层)                                                                      | 2013年建 |                                1室1厅 | 50平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_4qJCX08Iv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,璞岸 格局好 看房方便  环境好,293万,中楼层                                    (共23层)                                                                      | 2015年建 |                                3室1厅 | 89.46平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_KjggpWp9B_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五年，看山景海景精装一房一厅，采光好通透明亮，,108万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 37平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZORhCxqZB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,全新精装修 花园小区 户型方正 朝南 看山景别墅,420万,高楼层                                    (共30层)                                                                      | 2016年建 |                                3室2厅 | 88.45平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_tiNeAlD46_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,70年产权的住宅，精装修小户型，视野好，看山看海,95万,中楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qa3xwED2D_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五年唯一  云山栖 带精装修，5房，南北向，诚心卖,585万,低楼层                                    (共33层)                                                                      | 2016年建 |                                5室2厅 | 164.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_gz5KvxTDl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,此房是一房，总价格低，精装修，看房方便,165万,低楼层                                    (共18层)                                                                      | 2013年建 |                                1室1厅 | 57.29平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/test-a252bb68-a03f-4be2-9618-d0420bf60941.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,花园小区 户型方正 朝南 可看风景,425万,中楼层                                    (共28层)                                                                      | 2016年建 |                                3室1厅 | 89.5平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-4df6e11b-47d5-4b8a-9f26-31b741888866.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,满五唯一 此房采光通风 视野好，房子装修好,95万,高楼层                                    (共12层)                                                                      | 2015年建 |                                1室0厅 | 36.35平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_zd11kko5E_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,实用一房  满五唯一 实用 小区配套好,95万,高楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 44.92平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_NPcArkp6p_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,一线海景大三房，环境好，小区新,290万,中楼层                                    (共16层)                                                                      | 2015年建 |                                3室2厅 | 104.68平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_urAp4kdfn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,金众云山栖 毛坯两房 看房方便,315万,中楼层                                    (共33层)                                                                      | 2016年建 |                                2室1厅 | 61.68平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/pc1_G2nCzcixw.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,小户型带大阳台  业主诚心出售  随时看房,150万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 36.35平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_oEkCnV1fE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏佳兆业精装修，环境优雅，业主自赎,108万,低楼层                                    (共18层)                                                                      | 2013年建 |                                1室0厅 | 44.74平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_OHG1hvT4r_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,大鹏新区,大鹏半岛,大鹏新区 承翰半山海 全方位看海 视野好 无遮挡,205万,低楼层                                    (共12层)                                                                      | 2015年建 |                                2室2厅 | 64.49平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_drg8pIWrq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
