20210126,福田区,上下沙,高楼层正规电梯两房，使用率高，采光棒必看好房,498万,高楼层                                    (共9层)                                                                      | 2003年建 |                                2室1厅 | 54.04平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/453b7da7-1aad-408b-a690-d15b314ea9d5_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,金地花园 满五红本 使用率高 上沙站,720万,低楼层                                    (共8层)                                                                      | 1995年建 |                                2室2厅 | 80.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/f2d754df-4302-4c2c-95ee-e37b5d37ce82_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,花好园 精装一房 朝南向看海景...........必看好房,455万,高楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 42.16平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_eaUpl6QqJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,交通便利，地铁上沙站，户型方正使用率高,290万,高楼层                                    (共8层)                                                                      | 1991年建 |                                1室1厅 | 36.65平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/7adce10f-e3f4-4309-aefd-7ecea8922404_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,安静看花园 楼下就是地铁口出行方便 方便看房,305万,中楼层                                    (共32层)                                                                      | 2005年建 |                                1室0厅 | 28.5平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/be43f2cd-d2e5-4173-8e6e-59b28c59498e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,满五年，中楼层，采光好，业主诚心出售必看好房,625万,中楼层                                    (共32层)                                                                      | 2005年建 |                                2室1厅 | 61.25平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/8e3f37c0-b7b4-48e7-9ce3-d6a56ff54059_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,红树林温馨两居室，领包入住诚心卖必看好房,480万,高楼层                                    (共9层)                                                                      | 2003年建 |                                2室1厅 | 49.68平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/557b0779-d96e-41d4-a584-4d80d5c61971_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,精装小户型，满五年红本在手，业主诚心买，随时签约。,418万,高楼层                                    (共28层)                                                                      | 2005年建 |                                1室1厅 | 38.83平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/a4e0fcf6-449e-4b1a-8a26-309bb1ac7ff8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口，海景房，业主诚心出售，楼层好，使用面积高,639万,中楼层                                    (共29层)                                                                      | 2005年建 |                                2室1厅 | 61平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/c6be42a7-ab09-45e4-a275-f2f47e0d8040_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,安静社区，高层看海景，红树林公园旁,1260万,中楼层                                    (共33层)                                                                      | 2002年建 |                                4室1厅 | 133.1平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/59a7849f-c1cb-4d3d-9126-67d901ac2f5b_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,花好园 有钥匙随时看 地铁口 满五年唯一  红本在手必看好房,306万,中楼层                                    (共28层)                                                                      | 2005年建 |                                1室0厅 | 31.22平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/29ec5e08-ec73-4242-9540-178155211aef_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,靠车公庙70年产权住宅，随时看房,415万,中楼层                                    (共28层)                                                                      | 2005年建 |                                1室1厅 | 41.93平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/3a96068d-a68b-4b8a-a83f-b5d809139971_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业，精装修，业主诚心卖,430万,低楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 39.56平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/16bb56d5-79e5-4064-869c-d885dfe542e4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,花好园地铁口物业 地段好 位置佳 采光好,296万,高楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 28.17平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/bf4b8e39-ec31-4779-8747-460374f66904_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,此房红本满五年，户型方正无遮挡，地铁口物业,426万,低楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 39.43平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/450d96c2-674b-404e-8ab9-46488527b07c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,此房满五，朝南安静，看花园，户型方正实用,650万,中楼层                                    (共28层)                                                                      | 2005年建 |                                2室1厅 | 58.18平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/f1f1bf75-86b4-4cc6-827c-4c7ebb9e059e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,高层看花园环境好，满五唯一，优质房源,428万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 40.76平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/094aa5f0-152d-42d3-be6a-55bc2e900247_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业  大社区一房一厅  业主诚心出售,455万,低楼层                                    (共32层)                                                                      | 2004年建 |                                1室1厅 | 45.02平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/7a7fa0bf-bec8-4ba6-8dc7-172ce5f6b58f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,精装修 地铁口 高楼层 户型方正1房 双阳台,410万,高楼层                                    (共28层)                                                                      | 2005年建 |                                1室1厅 | 39.5平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/ad44429b-d789-4c53-ac84-152375d7630a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业，精装修，业主诚心卖,305万,低楼层                                    (共28层)                                                                      | 2005年建 |                                1室0厅 | 31.22平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/1a19e71b-c784-403c-b01f-8be08314e6fc_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,大金沙红树家邻正式两房 高楼层看海 通风视野好,430万,高楼层                                    (共9层)                                                                      | 2003年建 |                                2室1厅 | 47.36平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/65cbf4da-a6f5-446f-a4dc-e1a3e80c1878_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口花好园单间，诚心卖，看房方便,305万,低楼层                                    (共32层)                                                                      | 2005年建 |                                1室0厅 | 28.5平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/47a1a118-6e0b-45df-b38c-ce26a882a7c7_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,红树家邻 2室2厅 南,490万,低楼层                                    (共7层)                                                                      | 2003年建 |                                2室2厅 | 56.44平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/e563a4a9-0d5b-4e66-a15b-f648c42fb531_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,花好园 地铁口 精装大单间 户型方正实用 欢迎骚扰！,300万,中楼层                                    (共28层)                                                                      | 2005年建 |                                1室0厅 | 30.62平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/cbc8801e-2d87-4c07-a235-138324c968b8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口空中花园泳池小区，交通便利，配套完善,470万,低楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 67.31平米                                  | 东,http://ke-image.ljcdn.com/440300-inspection/prod-d6a528d5-4788-4111-9d9e-b6b2f158d6d2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,花好园地铁口物业 地段好 位置佳 视野开阔 户型格局好,400万,高楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 38.37平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/5b5fe358-7430-481a-b6e7-c0f6a4d4dd99_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,业主换房诚心出售，楼下就是地铁口9号线，近南山,296万,低楼层                                    (共28层)                                                                      | 2005年建 |                                1室0厅 | 30.9平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_mmxf21Ge8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,红旗岭大三房，户型方方正正，大阳台,760万,高楼层                                    (共8层)                                                                      | 1996年建 |                                3室1厅 | 101.47平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/d02cc991-e608-46ec-a263-a425f6ddf47b_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,小户型，实用，满五年，业主诚心卖,300万,低楼层                                    (共28层)                                                                      | 2005年建 |                                1室0厅 | 31.22平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/3f8286fa-1b0b-48f5-a7e0-f12a9a9d58e8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,精装4房 满4年 西南朝向 诚心卖！,2300万,低楼层                                    (共45层)                                                                      | 2014年建 |                                4室1厅 | 199.29平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/test-20f9b5d5-8505-4d13-b483-e718bf2fe482.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口一房 安静正南向 厅出阳台 精装 随时看房,385万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 35.23平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/cd955a63-a090-4955-8721-5c9c429ff931_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,万科品质物业，南向安静居家，奢华花园小区,1250万,低楼层                                    (共33层)                                                                      | 2003年建 |                                3室2厅 | 161.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/9026609e-66ca-467d-b5c4-9b6eddce4bd4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,业主诚心出售，看房方便有钥匙。,440万,中楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 59.29平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/9c6b300f-3cd0-4934-8c40-417da078f392_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,车公庙繁华商圈 地铁口 物业 京基kkome大型综合体,249万,高楼层                                    (共30层)                                                                      | 2014年建 |                                1室0厅 | 33.22平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/e697d61a-b2f2-4ca7-bb8a-e23f016debd2_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,楼下地铁口 KKONE 近车公庙 60万平商划 诚心出售,435万,中楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 59.35平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/c9f25407-351b-4afb-8171-6c3c7fec6b07_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,车公庙KK ONE繁华商圈.近地铁的海景房,335万,中楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 43.39平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/fbef3ddc-c981-4195-90c5-65bb0a1bc341_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,户型方方正正，厅出阳台，中楼层，楼层视野景观佳,400万,中楼层                                    (共32层)                                                                      | 2004年建 |                                1室1厅 | 41.72平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/2f7512ff-c539-4e3d-9200-1f5a8a666b69_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业，地铁口9号线下沙站B,410万,高楼层                                    (共28层)                                                                      | 2005年建 |                                1室1厅 | 41.93平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/4271d110-49bc-4d1a-9fdc-9cd9a7110d4f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,近地铁实用两房 满两年 户型方正 低总价 精装修,500万,中楼层                                    (共9层)                                                                      | 2003年建 |                                2室1厅 | 59.6平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/c29f5f19-99cc-459c-b9e0-d3b1dd15526b_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口，大型购物MALL，交通方便,340万,高楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 41.19平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/6fcc3b0e-b2af-4231-a6ec-3cbad21a26be_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,有户口可迁入， 高楼层海景，方正三房,720万,高楼层                                    (共30层)                                                                      | 2014年建 |                                3室1厅 | 79.62平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/bd9bf577-e93b-44be-927f-8686fd29e4dd_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,高层精装修 看海景 红本在手 随时看房,360万,中楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 43.04平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/pc1_i5sVFKCWv.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,高品质的生活就在山水云房花园。,1600万,高楼层                                    (共45层)                                                                      | 2007年建 |                                3室2厅 | 167.94平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/b5804c71-cc97-48e8-8c1a-5297877a39d9_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,京基正规方正2房，高楼层视野好，业主诚心出售,470万,高楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 59.29平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/pc1_CSJukS8HH_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,车公庙繁华商圈 地铁口 精装两房 次新楼盘 通燃气,440万,中楼层                                    (共30层)                                                                      | 2014年建 |                                2室2厅 | 59.29平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/prod-8b672412-4328-4756-9581-e2072623f95f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,全小区只有25套，大两房，红本在手，看房方便,570万,中楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 71.64平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/prod-e5f275ab-bcfa-4cd9-9c83-082cdba3454d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业 大型综合体 地段优越,490万,低楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 66.83平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/prod-382eb9f6-80d2-4a0c-9621-2001ca15b482.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,下沙KKONE精装通燃气公寓；安静看花园；,330万,低楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 40.86平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/prod-5b9234e6-1894-44cb-9935-e464daa7a851.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口上盖物业 低总价一房 看房方便,475万,高楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 39.5平米                                  | 北,http://ke-image.ljcdn.com/440300-inspection/prod-3f6d2a31-d739-4c7b-b833-4c83e3b69abb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,小区自带空中花园和泳池，户型方正安静朝向好。,520万,低楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 66.68平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/prod-c1447fb4-0c1a-447f-9705-827722cc1869.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,好房子不是用来欣赏的，是用来享受的！,1650万,低楼层                                    (共45层)                                                                      | 2007年建 |                                4室1厅 | 162.36平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-de9d4338-fa85-403d-aed5-22636ba7f6d0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,地铁口物业 花园式管理   轻奢  舒适,525万,中楼层                                    (共30层)                                                                      | 2014年建 |                                2室2厅 | 66.83平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/prod-3be03c90-14b3-465f-9c70-586e983935da.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,集万千宠爱一身，*美滨河一房一厅,305万,高楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 41.19平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/test-35d4a600-3aa2-4d0b-95af-f2897a40f81a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,下沙地铁口 精装修 大型综合体,535万,中楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 67.31平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/prod-a67f7cb9-6b3f-4477-a6c5-1b81e5dbc0af.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,滨河时代精装公寓，高层，红本，诚售,330万,高楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 41.19平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/test-865266cb-0a2c-4ea5-a2a2-21c9132bdb55.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,业主换房急售，价钱可再议，看房方便，安静看泳池,485万,低楼层                                    (共30层)                                                                      | 2014年建 |                                2室1厅 | 66.83平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/test-72cefc5a-88fd-4106-9e2f-30918c0b45a0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,上下沙,京基滨河时代 1室1厅 东北,312万,低楼层                                    (共30层)                                                                      | 2014年建 |                                1室1厅 | 41.01平米                                  | 东北,http://ke-image.ljcdn.com/440300-inspection/test-9841f9b1-b0fc-475c-a9df-537cda6de697.png!m_fill,w_280,h_210,f_jpg?from=ke.com
