20210126,福田区,梅林,房子满五唯一，精装修，地铁口物业，宜居，采光好。必看好房,248万,中楼层                                    (共7层)                                                                      | 1998年建 |                                1室1厅 | 35.14平米                                  | 东南 东,http://ke-image.ljcdn.com/110000-inspection/pc1_0kSwver7Z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,迷你新居在售的，满五年红本在手，免增值税必看好房,315万,低楼层                                    (共16层)                                                                      | 2008年建 |                                2室1厅 | 35.28平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_bPfjUE9dK.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅景地铁口 一房一厅 精装诚心出售必看好房,420万,低楼层                                    (共11层)                                                                      | 1999年建 |                                1室1厅 | 47.69平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/2252f0d8-9c61-42da-87bc-837d822e948d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,虹湾次新房 德系精装 大两房 东南向 看房方便诚心出售,700万,低楼层                                    (共46层)                                                                      | 2015年建 |                                2室2厅 | 59.96平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_NNDOnJthm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,虹湾南向 方正三房两卫 业主诚心出售 看房有钥匙方便,1100万,中楼层                                    (共44层)                                                                      | 2015年建 |                                3室2厅 | 85平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_nRemoOpjy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年唯一 楼下就是地铁口家乐福 通透户型必看好房,750万,中楼层                                    (共8层)                                                                      | 1999年建 |                                3室2厅 | 94.02平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_ii2PrhEVj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,06年电梯一房，看花园泳池安静，满五年诚心出售必看好房,300万,低楼层                                    (共18层)                                                                      | 2006年建 |                                1室0厅 | 31.74平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_l37BEknOT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村多层围合 满五年唯一 红本在手 诚心出售,850万,低楼层                                    (共9层)                                                                      | 1998年建 |                                3室2厅 | 85.4平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_KfvO7DnEG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,新上 精装修 实用一房一厅 满五年唯 一 高楼层 山景房必看好房,460万,高楼层                                    (共25层)                                                                      | 2008年建 |                                1室1厅 | 40.02平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/1b01ac86-0c9f-4fd6-b1c1-bf32768ac7ef_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村 三区方厅 靠公园水库 高层看梅林公园景观必看好房,810万,中楼层                                    (共32层)                                                                      | 2002年建 |                                3室1厅 | 89.8平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_355Dxw4Ax_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,华茂苑 2室1厅 南,650万,中楼层                                    (共7层)                                                                      | 1992年建 |                                2室1厅 | 73平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_QcLAo9xPO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,户型方正满五唯一，采光好，朝南必看好房,430万,中楼层                                    (共7层)                                                                      | 1999年建 |                                1室1厅 | 49.27平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_tMd2ramLl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,带大露台，，安静，满五唯一，诚心出售必看好房,738万,低楼层                                    (共18层)                                                                      | 2006年建 |                                3室1厅 | 68.56平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/345371b2-7a8a-4d77-ae4e-d08774d3d6b4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,此房满五年   南北通阳光足  近地铁出行购物便利,710万,中楼层                                    (共8层)                                                                      | 1997年建 |                                3室2厅 | 82.7平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_LnnvIcuDX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,华茂苑精装大两房  大社区 户型方正 通风彩光好,480万,高楼层                                    (共7层)                                                                      | 1997年建 |                                2室1厅 | 57.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_HdB3zlNDf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年唯一房产 精心装修 户型方正,855万,低楼层                                    (共8层)                                                                      | 2000年建 |                                3室1厅 | 93.76平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_uJDsuYekR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,业主诚心卖，满五不唯一，红本在手。,550万,高楼层                                    (共8层)                                                                      | 1998年建 |                                2室1厅 | 62.13平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_dcUL6oLnT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村 三区方厅 靠公园水库 高层看梅林公园景观,828万,低楼层                                    (共32层)                                                                      | 2002年建 |                                2室1厅 | 90.29平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_bFak3RbIr.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,户型方正，满五唯一，近地铁，低楼层。,580万,低楼层                                    (共7层)                                                                      | 1997年建 |                                2室1厅 | 79.09平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_VoCXfFiTT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,颐林雅院 3室1厅 东 东南 北,853万,中楼层                                    (共8层)                                                                      | 2008年建 |                                3室1厅 | 90.76平米                                  | 东 东南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_wqavzb8n3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双地铁口物业，大社区，小2房，装修好,350万,高楼层                                    (共7层)                                                                      | 1996年建 |                                2室1厅 | 38.91平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_424TI1C0n.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五唯一，税费少，出门就是社区公园。,195万,高楼层                                    (共8层)                                                                      | 1998年建 |                                1室0厅 | 19.03平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_TIeezW9Vv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,深华公寓 2室1厅 南,350万,高楼层                                    (共7层)                                                                      | 1996年建 |                                2室1厅 | 46.54平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-f86c16b8-818c-4918-aaa8-eafe38d995c7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,精装两房，拎包入住，业主诚心出售,320万,高楼层                                    (共16层)                                                                      | 2008年建 |                                2室1厅 | 35.21平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_XrNDJADIx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,精装，朝南，地铁口，人车分流，车位充足,1300万,低楼层                                    (共43层)                                                                      | 2015年建 |                                3室2厅 | 108.94平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_8hnqQBxjm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,上梅林两房，红本在手，满五唯一，业主诚心出售！,550万,中楼层                                    (共7层)                                                                      | 1998年建 |                                2室2厅 | 66.18平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_4TllTvKzL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,大阳台户型通透 看公园景观 红本在手满五唯壹必看好房,845万,低楼层                                    (共32层)                                                                      | 2002年建 |                                2室2厅 | 90.29平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_ebLCJEykG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,13区 97平大三房 东南朝向高楼层 视野开阔 阳光充足！,880万,高楼层                                    (共18层)                                                                      | 1999年建 |                                3室1厅 | 97.03平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_BQgm8pA3H_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,凯丰综合楼 双地铁口双物业  满五年  诚心出售,185万,中楼层                                    (共7层)                                                                      | 1998年建 |                                1室0厅 | 26平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/aab89825-83b8-45f1-b297-0c381e585b29_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,红本在手满五年唯一一套，中间楼层，税费少交易快捷！,856万,中楼层                                    (共7层)                                                                      | 1997年建 |                                3室2厅 | 97.03平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/795c27f1-3fbd-4295-bf1a-bfbc34c8b97c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,御锦公馆 1室0厅 东,198万,高楼层                                    (共30层)                                                                      | 2013年建 |                                1室0厅 | 28.15平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_6tpKpXxtI.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,精装大三房 楼层好 采光好 诚心卖,850万,中楼层                                    (共8层)                                                                      | 2008年建 |                                3室1厅 | 94.59平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/f82cce43-ef47-4d59-96c8-abf2ac013ffa_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,业主换房诚售，精装修保养好，产权清晰，户型方正。新上,412万,中楼层                                    (共9层)                                                                      | 2002年建 |                                1室1厅 | 40.66平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/6016ff6a-0786-4dc5-ae66-4ca43150f776_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,碧云天大3房 红本在手满五年，交易税费低新上,835万,低楼层                                    (共13层)                                                                      | 1999年建 |                                3室1厅 | 105.02平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_a9i5O10qh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,一村十二区 前看灯光秀 后看公园山 满五红本,870万,中楼层                                    (共31层)                                                                      | 2003年建 |                                4室1厅 | 91.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OWmBnXmG7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,翰岭院 3室2厅 东 南,1000万,高楼层                                    (共18层)                                                                      | 2005年建 |                                3室2厅 | 106.87平米                                  | 东 南,http://ke-image.ljcdn.com/440300-inspection/pc1_bjsgQDXHP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村一区 高楼层大三房 满五年红本新上,880万,高楼层                                    (共18层)                                                                      | 1999年建 |                                3室1厅 | 98.13平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_3Q7LLwOis_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五唯一税费少，业主诚心出售看房方便，四条地铁线。,410万,高楼层                                    (共7层)                                                                      | 1999年建 |                                1室1厅 | 45.41平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ofkUAmDI2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,万科瑧山道 次新房 5000元每平装修 从未住过 看山景新上,2350万,低楼层                                    (共21层)                                                                      | 2017年建 |                                4室2厅 | 176.25平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_urSl4AkIi.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,新上 地铁口实用三房 精装修 方正 两卫 采光足 诚心售,930万,中楼层                                    (共22层)                                                                      | 2004年建 |                                3室2厅 | 108.57平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/f25c7303-3c7b-4f1a-948f-acdb3b560a90_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林 方正1房 满五年红本在手,260万,高楼层                                    (共7层)                                                                      | 1996年建 |                                1室0厅 | 42.87平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_fWt3rxkum_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村十二区满五唯一红本中楼层采光通风好,1150万,中楼层                                    (共20层)                                                                      | 2000年建 |                                3室2厅 | 118.15平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_ocrymkDKT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,深华公寓 2室1厅 西,320万,高楼层                                    (共7层)                                                                      | 1996年建 |                                2室1厅 | 41.51平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_fIhVeTQDA.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,公园畔山 高楼层南向精美三房 每处窗台都是一幅风景,940万,高楼层                                    (共25层)                                                                      | 2008年建 |                                3室2厅 | 85.96平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_QZrqp3kOz.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅林一村十三区 近水库公园 安静看小区 红本满五年,850万,高楼层                                    (共18层)                                                                      | 2003年建 |                                3室2厅 | 97.03平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_OtnYsdmKN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,小区园林设计，房子满五唯一，精装修,900万,高楼层                                    (共18层)                                                                      | 2003年建 |                                3室2厅 | 97.03平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_XmZqpo9hO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁口，花园大社区，安静，满五诚心卖，精装修。,990万,低楼层                                    (共11层)                                                                      | 2007年建 |                                3室1厅 | 117.98平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/ab1f9dcf-9654-4829-bf32-15c0f6250c2b_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,福田次新房，户型方正，采光充足，满五唯一,1900万,低楼层                                    (共43层)                                                                      | 2015年建 |                                5室2厅 | 187.62平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_hcL50wIYb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满5唯一，客厅南北通，带入户花园 安静 地铁口,746万,高楼层                                    (共11层)                                                                      | 2005年建 |                                2室1厅 | 60.54平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_9HR1FSnND_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,次新房 四房诚心出售 南向 红本在手 看房方便新上,1300万,低楼层                                    (共45层)                                                                      | 2015年建 |                                4室1厅 | 120.02平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_LsiaxgveK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,栖棠映山 4室2厅 南新上,2350万,高楼层                                    (共25层)                                                                  4室2厅 | 170.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_RQNvam14t_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,次新房虹湾 四房  高层西北向 看山看水 视野开阔新上,1480万,高楼层                                    (共45层)                                                                      | 2015年建 |                                4室2厅 | 120.1平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_WQ60lz41b_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,绿景虹湾 3室2厅 南新上,1320万,低楼层                                    (共43层)                                                                      | 2015年建 |                                3室2厅 | 108.94平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_sSo5VxD72_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,福贸花园 3室2厅 南,780万,中楼层                                    (共8层)                                                                      | 1996年建 |                                3室2厅 | 105.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_QDuanKJAv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,水库旁，公园边，满五红本，小高层电梯房必看好房,628万,高楼层                                    (共10层)                                                                      | 2000年建 |                                2室2厅 | 65.42平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/d5f2dea2-1584-4c78-aace-1fdd7258cd8c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,碧荔花园朝南三房出售，满五年业主诚心出售,1300万,中楼层                                    (共9层)                                                                      | 1997年建 |                                4室2厅 | 138.01平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_7Vsqomg6L_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,房子满2年，户型方正小区配套齐全,680万,高楼层                                    (共46层)                                                                      | 2015年建 |                                2室1厅 | 57.73平米                                  | 西北,http://ke-image.ljcdn.com/440300-inspection/ff3eb3a2-ee22-408b-aadf-7ea053d5aa41_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,上梅林优质三房，产权清晰，红本满五不唯一！,850万,中楼层                                    (共8层)                                                                      | 2008年建 |                                3室1厅 | 94.61平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_JerNpgrdl.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,满五年，南北通，看花园，自住，地铁口必看好房,988万,中楼层                                    (共18层)                                                                      | 2005年建 |                                3室1厅 | 105.5平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/3afe3151-ca08-4e0e-95ab-a7a6a7f6033a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,小区稀有户型出售，一房一厅两个阳台，业主诚心出售,450万,低楼层                                    (共22层)                                                                      | 2005年建 |                                1室1厅 | 42.14平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/a103cf12-a626-45b6-9a3a-08f22a5c14d7_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,绿景虹湾 南向三房 户型方正实用 满五年 自住精装修,1038万,低楼层                                    (共44层)                                                                      | 2015年建 |                                3室2厅 | 85.05平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/973d4cc2-4ae2-438f-8399-df7e6d1db793_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,业主诚心出售，红本在手满五唯一 税费少，近地铁！必看好房,550万,低楼层                                    (共6层)                                                                      | 2003年建 |                                2室1厅 | 66.48平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_07ordMT3g_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,福田北CBD、电梯房《顶楼私家花园》红本满五唯一,830万,高楼层                                    (共8层)                                                                      | 2008年建 |                                3室2厅 | 90.94平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_mox7bKOFb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁口，花园社区，中间楼层2居，安静，满五诚心卖。必看好房,648万,中楼层                                    (共8层)                                                                      | 2008年建 |                                2室1厅 | 79.16平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_3AY0ZcQxT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,双龙抱珠，高层四房南向户型诚心出售,1750万,高楼层                                    (共32层)                                                                      | 2011年建 |                                4室2厅 | 161.05平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_LpFa4wob0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,新上 南向精装修 实用两房 近公园 换房诚心售,739万,中楼层                                    (共18层)                                                                      | 2005年建 |                                2室1厅 | 81.63平米                                  | 西南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_60mlrgnRh.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,华茂苑大四房两卫满五唯一红本精装修随时看房,925万,中楼层                                    (共8层)                                                                      | 1997年建 |                                4室2厅 | 96.87平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_lICgb8k9O_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,振业梅苑  双地铁口物业 精装修4房  楼层佳通风采光好,760万,中楼层                                    (共8层)                                                                      | 1998年建 |                                4室2厅 | 113平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_26Wqcpxnf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,地铁无缝对接，人车分流，车位充足，户型方正,720万,低楼层                                    (共46层)                                                                      | 2015年建 |                                2室1厅 | 52.54平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_FcWQ7RQji.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,梅景地铁电梯两房，东南朝向，无遮挡，诚心卖,605万,中楼层                                    (共22层)                                                                      | 2005年建 |                                2室1厅 | 62.12平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_4XaadJZXe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,高楼层精装一房，拎包入住，业主诚心出售,290万,中楼层                                    (共31层)                                                                      | 2003年建 |                                1室0厅 | 31.86平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/bda6097a-2560-47e2-889b-7d7dca7d2784_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,虹湾精装三房，中楼层朝南向，户型方正，业主诚心出售必看好房,1015万,中楼层                                    (共44层)                                                                      | 2015年建 |                                3室2厅 | 85.16平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/36889d6e-728b-4de5-aa56-3050311f1e10_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,福田区,梅林,碧云天 4房 地铁 自住精装修诚售随时看房,900万,中楼层                                    (共12层)                                                                      | 1999年建 |                                4室1厅 | 118.8平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/8e946eba-5366-4a22-b559-93ac00b6d0b8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
