20210126,龙岗区,龙岗双龙,二加一房，中间楼层，厅出阳台，西南向必看好房,280万,中楼层                                    (共30层)                                                                      | 2015年建 |                                3室1厅 | 81.03平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_PabITpctO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满京华喜悦里 112平大五房 朝东南看花园 588万急卖,600万,高楼层                                    (共31层)                                                                      | 2014年建 |                                5室2厅 | 112.24平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_qDABxO20P_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口 满五年 厅出阳台 诚心卖必看好房,350万,中楼层                                    (共26层)                                                                      | 2011年建 |                                2室1厅 | 73.16平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_QXiwNpxvE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,怡龙枫景园，满五四房，精装修业主诚心出售,619万,低楼层                                    (共23层)                                                                      | 2010年建 |                                4室1厅 | 139.76平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_2bDAmg8RO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,前后双阳台，视野宽阔，采光充足，红本在手,410万,高楼层                                    (共10层)                                                                      | 2003年建 |                                3室1厅 | 114.02平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_uhXrjdmlC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,水岸新都刚需2房 朝南 看花园 保养好新上,308万,高楼层                                    (共28层)                                                                      | 2008年建 |                                2室2厅 | 80.73平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_oMi2uj8YQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,东南向，看公园,高楼层，采光视野好新上,310万,高楼层                                    (共27层)                                                                      | 2009年建 |                                2室1厅 | 74.28平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_WkOekdwAO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,运河蓝湾 3室2厅 东南 南新上,420万,高楼层                                    (共17层)                                                                      | 2014年建 |                                3室2厅 | 79.4平米                                  | 东南 南,http://ke-image.ljcdn.com/440300-inspection/prod-60ef4217-2b8d-4ce3-bdc6-e3c42600df48.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,朝南看花园 小区绿化高，住家安静舒适新上,500万,高楼层                                    (共9层)                                                                      | 2008年建 |                                4室2厅 | 135.43平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qsaMIAhAu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,怡龙枫景园 6室1厅 南,718万,高楼层                                    (共23层)                                                                      | 2010年建 |                                6室1厅 | 185.06平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_XIavfzuVt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一电梯3+2房，得房率高，户型通透适合居家,400万,中楼层                                    (共10层)                                                                      | 2006年建 |                                4室2厅 | 108.46平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_GGluyRYeM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,朗泓龙园大观 3室2厅 东南,520万,低楼层                                    (共43层)                                                                      | 2017年建 |                                3室2厅 | 89.16平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_JFF1Eiirf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,南联地铁口物业   交通方便   生活氛围好,258万,中楼层                                    (共8层)                                                                      | 2004年建 |                                2室2厅 | 76.84平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_fQZz3iVRD.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,花园中间，户型方正，住家，精装保养好,400万,高楼层                                    (共6层)                                                                      | 2001年建 |                                3室2厅 | 110.53平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_uNO55OTbD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,业主包增值税，竖厅设计，采光面十足，高楼层通风好,445万,高楼层                                    (共33层)                                                                      | 2017年建 |                                3室2厅 | 88.87平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_PZyQww0pH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,鹏达花园 3室1厅 南,350万,中楼层                                    (共6层)                                                                      | 2003年建 |                                3室1厅 | 101.22平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_s2tLUvGve_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口大四房，次新房，满五唯一，欠款少。,580万,中楼层                                    (共31层)                                                                      | 2014年建 |                                4室1厅 | 110.79平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_xqckaAvGa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,低总价小房，南向  满5  红本在手，诚心出手,156万,高楼层                                    (共23层)                                                                      | 2011年建 |                                1室0厅 | 32.13平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_PzPRIMyDc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,精装三房诚心出售地铁口户型好业主自住价格好生活便利,460万,低楼层                                    (共31层)                                                                      | 2014年建 |                                3室1厅 | 80.24平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_6nJ3WZaaV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,鹏达摩尔城 3室1厅 南,380万,低楼层                                    (共31层)                                                                      | 2010年建 |                                3室1厅 | 89.49平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_yA7N3sYR5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁 龙0外 五期开发龙园大观 视野通透 看房方便,430万,高楼层                                    (共31层)                                                                      | 2017年建 |                                3室2厅 | 89.2平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ttGXjJxVh.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口 ，满五唯一 ， 户型方正   采光好，朝小区安静,327万,高楼层                                    (共6层)                                                                      | 2004年建 |                                3室2厅 | 102.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_3KlVaM8KN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口 摩尔城 朝南2房 诚心出售,335万,低楼层                                    (共31层)                                                                      | 2010年建 |                                2室1厅 | 82.42平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_hKEMu5UiR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一，业主好讲话，户型方正采光好，使用率高必看好房,345万,高楼层                                    (共28层)                                                                      | 2014年建 |                                2室1厅 | 60.94平米                                  | 东南 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_Aduvj5sD2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,怡龙枫景园 精装修3房 满五唯一 红本在手 中高楼层,450万,高楼层                                    (共26层)                                                                      | 2011年建 |                                3室2厅 | 88.68平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_eqtLxSA4W_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一，中间楼层，自住装修，诚心出售,400万,高楼层                                    (共6层)                                                                      | 2003年建 |                                3室1厅 | 110.88平米                                  | 东南 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_mPdFfZhX3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,业主诚心出售，价格还有可谈空间,630万,高楼层                                    (共25层)                                                                      | 2008年建 |                                4室2厅 | 165.27平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_AplX6kEDo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,总价低，做两房，带平台，看房方便必看好房,210万,低楼层                                    (共9层)                                                                      | 2006年建 |                                1室2厅 | 46.25平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_L4XFVgJy6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,业主包增值税，免个税，中高楼层朝南，看山看湖。,370万,高楼层                                    (共34层)                                                                      | 2017年建 |                                3室2厅 | 88.93平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_y3PLOUNHB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,东方瑞景苑 小户型住宅 满五年 低总价 刚需上车必看好房,125万,低楼层                                    (共23层)                                                                      | 2011年建 |                                1室0厅 | 36.46平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_zulzW3Wqi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,带露台大三房，满五红本税费少。,420万,低楼层                                    (共6层)                                                                      | 2007年建 |                                3室2厅 | 111.14平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_mHvh91oHi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,东方瑞景苑 1室0厅 东北必看好房,116万,中楼层                                    (共23层)                                                                      | 2011年建 |                                1室0厅 | 36.46平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_5b0dAHbcd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,九州家园 3室1厅 南,400万,低楼层                                    (共8层)                                                                      | 2003年建 |                                3室1厅 | 115.5平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-71c6153a-fd91-409e-b3b4-1ccdc766bbb6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,此房满五唯一，中楼层，视野开阔！,455万,中楼层                                    (共16层)                                                                      | 2006年建 |                                3室2厅 | 119.49平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_eZqPfLYFK.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一红本在手，地铁口，大社区，中间楼层必看好房,335万,中楼层                                    (共6层)                                                                      | 2001年建 |                                3室2厅 | 110.66平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_RInt4MUAW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,精装修可拎包入住，朝南向，通风采光好，视野看别墅区,660万,低楼层                                    (共25层)                                                                      | 2008年建 |                                3室1厅 | 164.84平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-9879021a-72c7-4003-8720-4316c53f9213.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,百万大盘，标准2房，中高楼层，业主诚心出售必看好房,310万,中楼层                                    (共43层)                                                                      | 2017年建 |                                2室1厅 | 69.57平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-093a9b7a-9ab0-449f-b49a-c1c01040d26f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一，红本在手，户型方正，业主诚心出售,500万,低楼层                                    (共32层)                                                                      | 2014年建 |                                3室2厅 | 81.34平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OfMY2Q5ro_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,南联地铁口 满京华喜悦里 大五房诚心出售,660万,中楼层                                    (共31层)                                                                      | 2013年建 |                                5室2厅 | 120.66平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_CqKNSWxQP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口物业， 满五红本在手，中高层采光视野好,430万,中楼层                                    (共28层)                                                                      | 2011年建 |                                3室1厅 | 88.16平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_xDs2T3lj9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五年唯一住宅，户型方正三房两厅，视野宽阔，采光好,348万,中楼层                                    (共10层)                                                                      | 2004年建 |                                3室2厅 | 109.95平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_zH940rm5y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五年，地铁口次新房，业主自住，诚心出售必看好房,445万,高楼层                                    (共32层)                                                                      | 2014年建 |                                3室2厅 | 81.26平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_tUooHyBFl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五唯一，东南朝向，纯地铁口大两房业主诚心卖,380万,高楼层                                    (共31层)                                                                      | 2010年建 |                                2室1厅 | 85.1平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Ctq6WOrO0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口满京华喜悦里 朝南三房出售,450万,中楼层                                    (共31层)                                                                      | 2014年建 |                                3室2厅 | 80.65平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_094Sfr8nj.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,户型方正两居室，视野宽阔，采光好，保养好,248万,高楼层                                    (共6层)                                                                      | 2006年建 |                                2室1厅 | 79.58平米                                  | 西南,http://ke-image.ljcdn.com/440300-inspection/pc1_ZxWB2lbCB.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,3+1房，户型方正，地铁口150米，高楼层，采光通风好必看好房,460万,高楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 89.45平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_VqAHwQJHc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,满五年，上车小户型，低总价，双地铁,140万,高楼层                                    (共23层)                                                                      | 2011年建 |                                1室1厅 | 36.46平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_mhkL17Vve_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,精装修海航城近地铁三房，诚心出售必看好房,450万,低楼层                                    (共33层)                                                                      | 2016年建 |                                4室2厅 | 89.45平米                                  | 东南 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_Iw1KSgx2s_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,此房满两年，横厅设计，采光面十足，高楼层通风好。,375万,中楼层                                    (共34层)                                                                      | 2017年建 |                                3室2厅 | 89.07平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_cUtM0Enf9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,全新装修   经典三房   朝南看小区园林   视野佳,360万,中楼层                                    (共28层)                                                                      | 2008年建 |                                3室1厅 | 86.92平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-3112070b-0625-4676-b1ae-9989e78ded2c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,地铁口 厅出阳台  满五唯一  公园脚下 天然氧吧必看好房,350万,高楼层                                    (共26层)                                                                      | 2011年建 |                                2室2厅 | 74.22平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_qlTqpuYuF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,水岸新都大社区正规3房，双阳台，朝南,358万,中楼层                                    (共17层)                                                                      | 2008年建 |                                3室1厅 | 87.75平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-2f29e116-3b2a-47b0-8c58-a652cb92a94e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,龙岗区,龙岗双龙,精装修两房，双地铁口，满五，客厅出阳台，看房方便,350万,高楼层                                    (共28层)                                                                      | 2011年建 |                                2室1厅 | 73.85平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_gwlhaXqND_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
