20210128,番禺,华南新城,此房证满五年，税费少，户型方正，南北通透望江景观好,1050万,低楼层                                    (共30层)                                                                      | 2011年建 |                                4室2厅 | 268.16平米                                  | 南 北,http://ke-image.ljcdn.com/440100-inspection/pc1_pIywEsMtK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 南向 新装修 带独立露台,460万,低楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 144.24平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Q8WhpkGJc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城南区高层复式大4房，小区教育资源配套齐全,700万,高楼层                                    (共11层)                                                                      | 2011年建 |                                4室2厅 | 239平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ologHDYv3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,业主诚心出售,户型方正 ，采光通风好 景观好,426万,高楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 132平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_cyDaFQ12A_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,业主诚心出售,交通便利小区配套齐，房子保养好,300万,中楼层                                    (共12层)                                                                      | 2003年建 |                                3室2厅 | 90.8平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_zNES3Mk8h_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城大三房，业主诚心出售。,410万,低楼层                                    (共12层)                                                                      | 2011年建 |                                3室2厅 | 136平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ZI4bLkcRc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 3室2厅 南 北,348万,低楼层                                    (共6层)                                                                      | 2011年建 |                                3室2厅 | 139.9平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_kS1KafeH0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,东南向复式 户型方正 装修保养好,1000万,高楼层                                    (共11层)                                                                      | 2011年建 |                                6室2厅 | 332.8平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_yLRO1ufFg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 高层复式 视野宽阔 采光充足 实用面积大,750万,高楼层                                    (共11层)                                                                      | 2011年建 |                                5室2厅 | 236.56平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_YM58KpeiE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,望园林泳池  高层大复式  背山望水,730万,高楼层                                    (共11层)                                                                      | 2011年建 |                                5室2厅 | 255.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_DVkBl9D8X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城小区，户型方正，保养好,450万,低楼层                                    (共6层)                                                                      | 2011年建 |                                4室2厅 | 145平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_ZTUnCPdjY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 电梯中层 大三房 厅大房大 位置安静 景观好,448万,中楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 145.72平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_9xJb9o55l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,宜居大三房，自住装修保养好，安静靠湖,360万,低楼层                                    (共12层)                                                                      | 2011年建 |                                3室2厅 | 121平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_0F1JOuWwV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,一梯一户 南北对流  一线望江户型,1302万,低楼层                                    (共30层)                                                                      | 2011年建 |                                4室2厅 | 301.23平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Llnke9RRB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 南向方正三房 过五唯一省税,265万,高楼层                                    (共6层)                                                                      | 2011年建 |                                3室2厅 | 85.92平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qYEn7yRPs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,此房户型方正，高层望江，环境好。,448万,高楼层                                    (共6层)                                                                      | 2011年建 |                                4室2厅 | 139.9平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_TYtBAVDWt.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 4室2厅 南 北,650万,低楼层                                    (共24层)                                                                      | 2011年建 |                                4室2厅 | 178.22平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_sRh1HulJv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,小区环境幽静，户型格局方正，楼层好，采光充足,438万,低楼层                                    (共11层)                                                                      | 2011年建 |                                4室2厅 | 139.68平米                                  | 西 北,http://ke-image.ljcdn.com/110000-inspection/pc1_vEH5oDq2a_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城  山语轩大三房   户型方正   红本在手,370万,低楼层                                    (共11层)                                                                      | 2004年建 |                                3室2厅 | 119.5平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_RSwH2FNWU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城  南区大顶复   带子母车位出售   景观好,950万,高楼层                                    (共11层)                                                                      | 2004年建 |                                6室2厅 | 331.03平米                                  | 东南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_0aekVZmeP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,复式高楼三层 户型方正 装修保养好,750万,高楼层                                    (共11层)                                                                      | 2011年建 |                                5室3厅 | 203.64平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_lXOg4Kcnm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,户型方正、采光好、业主诚心出售,630万,低楼层                                    (共24层)                                                                      | 2011年建 |                                4室1厅 | 185平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_Y9J9aqzUE.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,精装修，保养好，采光好，阳台视野宽阔，业主诚心卖,550万,高楼层                                    (共11层)                                                                      | 2011年建 |                                4室2厅 | 153平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_gy5mf9F1o.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,低楼层，户型方正 ，出入方便，业主诚意出售,437.8万,低楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 145.9平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_50g7Bcay2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,广州华南新城 户型方正 装修保养好,370万,低楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 120.66平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_1USVbEYkb_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城南向大三房 精装修 保养好,455万,低楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 144.47平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_BMcMLwQOe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城山语轩 业主诚心出售，急售，各付各税。,380万,低楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 146平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_aD5uFyigT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,房子楼层好装修保养不错，业主诚意出售,428万,中楼层                                    (共6层)                                                                      | 2011年建 |                                4室2厅 | 144.4平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_xqZIkjIJZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,业主诚意出售，1楼带花园，满五唯一,470万,低楼层                                    (共6层)                                                                      | 2011年建 |                                4室2厅 | 139.87平米                                  | 东北,http://ke-image.ljcdn.com/440100-inspection/pc1_B80Z5lBmH.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,一梯2户 过五唯一  4房带入户花园 格局好 景色优,558万,高楼层                                    (共12层)                                                                      | 2011年建 |                                4室2厅 | 167.7平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_DlGmIC91G_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 满五唯一    大三房,450万,低楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 139.8平米                                  | 西北,http://ke-image.ljcdn.com/440100-inspection/pc1_JFSRW0XSc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,旺中带静 使用率高 业主诚心出售,400万,低楼层                                    (共6层)                                                                      | 2011年建 |                                4室2厅 | 144.42平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_feRpC1ewO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城  视野好 采光足 业主诚心出售 满五唯一,280万,中楼层                                    (共11层)                                                                      | 2011年建 |                                2室1厅 | 84平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_FZeHzDR1t_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,此房采光好，单价低，装修好，业主很有心出售,659万,中楼层                                    (共24层)                                                                      | 2011年建 |                                4室2厅 | 178.22平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/prod-4d772f4d-9621-46e6-9901-7a0eba0f466a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 楼层好 前后无遮挡  采光好,460万,低楼层                                    (共12层)                                                                      | 2011年建 |                                3室2厅 | 152.88平米                                  | 南 北,http://ke-image.ljcdn.com/440100-inspection/prod-814859a7-1f94-4c56-b36b-890b0e489f54.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城大三房 装修保养好 小区绿化高,420万,低楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 146.1平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/prod-27378469-21f2-429a-979a-a5eab1b852f5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,温馨小区 绿化好 房子格局好装修保养好望园区湖心,435万,中楼层                                    (共12层)                                                                      | 2011年建 |                                4室2厅 | 144.59平米                                  | 西北 北,http://ke-image.ljcdn.com/440100-inspection/prod-1a7188af-2bbb-434b-8e76-dabcd2bf343f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,满五年唯一，精装五房，顶层复式带50平露台，业主诚售,680万,高楼层                                    (共12层)                                                                      | 2011年建 |                                5室2厅 | 235.02平米                                  | 西北 东南,http://ke-image.ljcdn.com/440100-inspection/prod-ea7251b3-073e-4d75-b001-047c2fb04c2c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城，舒适三方，房间方正实用。,438万,中楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 134.06平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-cd4b50cf-24b1-407a-a42d-5bee8239de09.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城业主急售四房 一梯两户 景观优美,445万,中楼层                                    (共6层)                                                                      | 2011年建 |                                4室2厅 | 144.8平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/prod-68834f09-aec9-42d4-902a-e4ac3fdfde86.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 南向高层复式带露台 望园区 装修保养好,660万,高楼层                                    (共11层)                                                                      | 2011年建 |                                6室2厅 | 239.3平米                                  | 南 北,http://ke-image.ljcdn.com/440100-inspection/prod-2041f4bd-9df8-41b7-88ef-7dc559a3a030.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城装修保养好，采光好户型方正,749万,高楼层                                    (共12层)                                                                      | 2011年建 |                                5室2厅 | 216平米                                  | 南 北,http://ke-image.ljcdn.com/440100-inspection/prod-1c97d4c8-e11a-4528-a8e3-d3bf53277f18.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 复式五房格局实用 南向望湖采光好,750万,高楼层                                    (共12层)                                                                      | 2011年建 |                                5室2厅 | 270.4平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/prod-85383369-1d79-4f7a-a2a7-1d9de533b28c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城南区对流三房 大三房 保养好,368万,低楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 119.32平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-e0c63374-66e0-4821-84fa-a51647edd2f7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 山语轩 望湖位置安静 景观视野好,399.9万,低楼层                                    (共12层)                                                                      | 2011年建 |                                4室2厅 | 152.9平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-13725749-1703-4986-886a-6b82076bf846.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城高层3房，优先华附，近万博CBD，配套交通便利,325万,高楼层                                    (共12层)                                                                      | 2011年建 |                                3室2厅 | 90.81平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Cl3Js8opU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华安新城 南向四房 超高实用户型,450万,低楼层                                    (共11层)                                                                      | 2004年建 |                                4室2厅 | 144.1平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/1f76d976-a744-42ad-ae07-556f2767be0e.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城4房，望园林单位采光通透装修保养好诚售,415万,低楼层                                    (共12层)                                                                      | 2011年建 |                                4室2厅 | 128.8平米                                  | 西北 北,http://ke-image.ljcdn.com/440100-inspection/fa34a6ef-1cad-4e1c-9b27-768bcfdc3ed3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城 3室2厅 南,390万,中楼层                                    (共11层)                                                                      | 2011年建 |                                3室2厅 | 108平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/08653aa3-126c-4855-b1e6-22ad34c8dab8.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,中间楼层靓4房单位 业主置换 诚心放卖新上,455万,中楼层                                    (共11层)                                                                      | 2011年建 |                                4室2厅 | 132平米                                  | 北,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210128,番禺,华南新城,华南新城北区 电梯两房 装修保养好,290万,中楼层                                    (共11层)                                                                      | 2004年建 |                                2室2厅 | 85.6平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_RkIlQGY2D_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城刚需房置换，华师 孩子就在家门口读书,420万,中楼层                                    (共12层)                                                                      | 2011年建 |                                3室2厅 | 137平米                                  | 西北,http://ke-image.ljcdn.com/440100-inspection/pc1_IeX6srQvG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城顶楼复式 大五房带超大露台 实际使用面积多,689万,高楼层                                    (共18层)                                                                      | 2011年建 |                                5室2厅 | 187.62平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/prod-f5f65e5a-eea7-4b9c-b72d-58fbb18e98d0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,番禺,华南新城,华南新城北区   普通住宅大四房  无增值税,420万,低楼层                                    (共6层)                                                                      | 2011年建 |                                4室2厅 | 144.9平米                                  | 东北,http://ke-image.ljcdn.com/440100-inspection/bed9d619-0257-4f68-ae21-9ac042435877.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
