20210128,天河,珠江新城西,漾晴居 高楼层 品质小区 间隔方正 实用率高 近地铁必看好房,988万,高楼层                                    (共33层)                                                                      | 2001年建 |                                3室2厅 | 93.84平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_C8LzI8Qij_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,精装一房 方正实用 业主诚心出售 看房方便,340万,中楼层                                    (共31层)                                                                      | 2005年建 |                                1室0厅 | 41.14平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_ApeDdUoCo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,星汇国际   大单间   落地窗必看好房,263万,中楼层                                    (共28层)                                                                      | 2003年建 |                                1室0厅 | 43.92平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_mRXoBH0pY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际 单间 东向 看房方便 业主诚意出售,280万,中楼层                                    (共32层)                                                                      | 2005年建 |                                1室0厅 | 33平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_9Gps9wy4p_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈丰大厦 3室1厅 西北,514.2万,中楼层                                    (共29层)                                                                      | 2005年建 |                                3室1厅 | 128.55平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_7shskEEQH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,双城国际公寓  大单间  高楼层 南向,278万,中楼层                                    (共29层)                                                                      | 1998年建 |                                1室0厅 | 37.19平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ADtgEJNX0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城地铁站  大单间  南向,310万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 43.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_t1WkBpi3J.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,房屋采光通风好，户型方正实用，装修保养好,400万,中楼层                                    (共29层)                                                                      | 1998年建 |                                1室0厅 | 48.88平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_sAgoJJIU9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿 高楼层 采光好 看房方便必看好房,400万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 52.55平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_5IgdLVOEz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,星汇国际 商务地段 保养装修好 诚意出售,270万,中楼层                                    (共28层)                                                                      | 2003年建 |                                1室0厅 | 44.59平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/374060ea-38d4-4d29-bb49-b76dd1e3578a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈力大厦业主诚心出售正南向单间采光好,188万,低楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 57.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_9W8htb46d_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,南向高层望广州塔一房一厅，业主急售必看好房,440万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_d6yoWSGHm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城西区  中高层，舒适两房,485万,高楼层                                    (共33层)                                                                      | 1997年建 |                                2室1厅 | 79.32平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_uLA10lbtT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿 刚需电梯1房1厅 总低价上车盘 花园绿化小区,285万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 42.92平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_FBzRwG9Px_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,楼层高   户型方正  采光充足必看好房,630万,低楼层                                    (共30层)                                                                      | 2005年建 |                                2室1厅 | 80.78平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-d1deb90c-eee4-4771-8fbc-a2342e860905.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,全南向户型，嘉裕物业，有小区花园、泳池，近地铁。,2300万,中楼层                                    (共30层)                                                                      | 2009年建 |                                5室2厅 | 192.02平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_l6iYA0XnA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,花园小区，楼龄新，离珠江新城地铁站50米,2100万,低楼层                                    (共30层)                                                                      | 2009年建 |                                4室2厅 | 165.78平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_BuZyxi4xt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,配套齐全，可豪大单间，多功能配套设施，看房提前约,200万,高楼层                                    (共30层)                                                                      | 1998年建 |                                1室0厅 | 33平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_AvWh0PhTI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,星汇国际  珠江新城纯熟商圈 地段优越,270万,高楼层                                    (共28层)                                                                      | 2003年建 |                                1室0厅 | 44.58平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_JclJ5v4Cp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,星汇国际，采光好精装舒适，交通便利生活配套齐全,273万,高楼层                                    (共28层)                                                                      | 2003年建 |                                1室0厅 | 44.58平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_CbmpIXtkT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,户型方正 楼层朝向好 交通便利,612万,中楼层                                    (共33层)                                                                      | 1997年建 |                                3室1厅 | 92.37平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/172d43f8-b4e8-4d78-bb4e-94d4e5d9edc3_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城 东南向大一居室 视野好 交通方便 配套齐,450万,中楼层                                    (共28层)                                                                      | 2003年建 |                                1室1厅 | 71平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/c1db981d-bfdb-429c-9ff7-e20f4c804721_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,远洋明珠大厦高楼层，视野开阔，东南向。光线充足,1100万,高楼层                                    (共25层)                                                                      | 1998年建 |                                4室2厅 | 146平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_zFY7P3ReA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈丰大厦 1室0厅 西,170万,高楼层                                    (共29层)                                                                      | 2005年建 |                                1室0厅 | 51.23平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_wHJpQcsCj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,配套设施齐全，交通便利，东南向看小蛮腰。,338万,中楼层                                    (共29层)                                                                      | 1998年建 |                                1室0厅 | 45.43平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_z0kTK9w8K_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,交通方便 设计新奇 采光充足 户型方正,450万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 55.25平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_pTacWppuW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,居住环境舒适，配套成熟，户型好,阳台外面带大平台。,400万,低楼层                                    (共29层)                                                                      | 1998年建 |                                1室0厅 | 45.43平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_K3nF8W4Nx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,双城国际 精装小单位 地铁口 低总价职业珠江新城CBD,305万,高楼层                                    (共29层)                                                                      | 1998年建 |                                1室1厅 | 40.27平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_22kItpUY4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,高楼层，南向开间 大落地窗，视野开阔，夜景漂亮,320万,中楼层                                    (共28层)                                                                      | 2003年建 |                                1室0厅 | 43.53平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/c3cdfd49-ae3a-40e1-9a7d-24cca0498b16_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿阳光公寓 高层南向 采光好 保养好,450万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 55.14平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/389be2f4-1075-46e9-b187-6f321d359021_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,佛奥广场 业主诚心卖 看房方便 单间,215万,中楼层                                    (共30层)                                                                      | 2013年建 |                                1室0厅 | 33.22平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_kIV1PLlLZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,礼顿高层，业主诚心放卖，户型方正,328万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 39平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_38qtFJVpI.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿阳光  精装公寓 采光通风 近地铁,280万,低楼层                                    (共30层)                                                                      | 2005年建 |                                1室1厅 | 38.08平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_UKrau12MB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,嘉裕礼顿阳光，南向，满五唯一，户型方正,305万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 43.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_oJXCx4UFD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城楼盘新，5年楼龄，价格优惠,280万,高楼层                                    (共30层)                                                                      | 2013年建 |                                1室0厅 | 39平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_cJdptaukF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,铂林国际 小户型 高层景观开阔,280万,中楼层                                    (共32层)                                                                      | 2005年建 |                                1室0厅 | 32.95平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_3p9KBP2Je_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城 舒适大开间 安静舒适 保养新净,280万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 35平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/99f88b58-65eb-451e-b586-68b84bb08271_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城富力盈力 中层带平台小户型 可注册,170万,中楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 40.65平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_OFn8T5cnD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,间隔方正实用 采光充足 通风舒适,222万,高楼层                                    (共32层)                                                                      | 2005年建 |                                1室1厅 | 27.83平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_LFLK5CEsg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,户型方正 全屋精装修 通风采光 高层视野开濶,275万,高楼层                                    (共30层)                                                                      | 2005年建 |                                1室0厅 | 39.2平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_l5y9Q3YjH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,富力盈丰两房户型出售  高层保养好 可一址多照,350万,中楼层                                    (共30层)                                                                      | 2005年建 |                                2室1厅 | 99平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_izNJT4XQ0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,南天广场  东南靓向  珠江新城近地铁必看好房,538万,高楼层                                    (共33层)                                                                      | 1997年建 |                                3室1厅 | 94.21平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_1gjXmSlc5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,佛奥广场五星酒店标准装修公寓 一房一厅 珠江新城地段,380万,中楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 51.54平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_dSxfoA8N6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,佛奥广场 酒店管理 总价、首付低住珠江新城地段,199万,中楼层                                    (共30层)                                                                      | 2013年建 |                                1室1厅 | 33.41平米                                  | 西,http://ke-image.ljcdn.com/440100-inspection/pc1_z93VESbuD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,南向三房 高楼层 视野开阔景观好,750万,高楼层                                    (共33层)                                                                      | 1997年建 |                                3室2厅 | 104.05平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_MkXqMCpDr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,天河,珠江新城西,珠江新城西    南天广场    好盘直选,910万,中楼层                                    (共33层)                                                                      | 1997年建 |                                3室1厅 | 163平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-8e03141b-6859-47f8-8ef5-b2306c978753.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
