20210128,龙岗区,布吉南岭,爆炸急卖，满五唯一好房，看房方便。必看好房,500万,高楼层                                    (共31层)                                                                      | 2016年建 |                                3室1厅 | 87平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_5cqO23CSW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,卖点，户型介绍，小区介绍，配套,571万,低楼层                                    (共44层)                                                                      | 2017年建 |                                3室2厅 | 88.93平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OMwSZasf2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,公园里三房，满五唯一红本，业主诚心出售,580万,中楼层                                    (共37层)                                                                      | 2016年建 |                                3室1厅 | 85.78平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_9q8jNIfQA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,安鸿峰景苑 3室2厅 西南新上,450万,低楼层                                    (共21层)                                                                      | 2014年建 |                                3室2厅 | 87.33平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZEHiaVx0l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,大世纪水山缘 正规3房 可看山景 满5唯一红本 税少新上,450万,中楼层                                    (共11层)                                                                      | 2006年建 |                                3室1厅 | 85.18平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_67v9EQdMh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,公园里四期，满五唯一朝南，业主诚心卖,720万,中楼层                                    (共40层)                                                                      | 2017年建 |                                4室1厅 | 122.49平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_aZCQj4ezq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五红本房，业主诚心出售，单价便宜,280万,中楼层                                    (共7层)                                                                      | 1993年建 |                                2室1厅 | 69.71平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_DY76itrCj.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里双拼户型，满五年唯一红本，自住保养好,364万,低楼层                                    (共30层)                                                                      | 2012年建 |                                4室2厅 | 73.5平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_lsyLiCQ1O_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,水山缘舒适小区 方正大四房    满五年唯一 红本,700万,低楼层                                    (共11层)                                                                      | 2006年建 |                                4室1厅 | 123.57平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OSZ2GlVW6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一 地铁口 朝东无遮挡视野开阔 精装三房,550万,低楼层                                    (共30层)                                                                      | 2013年建 |                                3室1厅 | 87.47平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_G1RZGuRp5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科一期四房，视野采光好，东南向,690万,低楼层                                    (共30层)                                                                      | 2013年建 |                                4室1厅 | 123.24平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_s0yzaysqn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里三期 南北通看公园四房三卫 业主诚心出售,750万,高楼层                                    (共37层)                                                                      | 2016年建 |                                4室1厅 | 150.2平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_wbPM95g0x_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,文峰华庭正规三房，满五唯一税费少，业主诚心出售必看好房,450万,高楼层                                    (共20层)                                                                      | 2014年建 |                                3室2厅 | 82.32平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_6jhJnNYjM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,此房是中高楼层，看梧桐山和水库景观，朝东南向采光好,580万,中楼层                                    (共40层)                                                                      | 2017年建 |                                3室1厅 | 86.74平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_mnDEo6GiG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,五年唯一，欠款少，楼层高，无遮挡，采光充足,496万,中楼层                                    (共32层)                                                                      | 2014年建 |                                3室1厅 | 78.46平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_XQrT9zd8X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一地铁物业，双阳台，佳兆业精装修3房必看好房,540万,中楼层                                    (共30层)                                                                      | 2013年建 |                                3室2厅 | 87.47平米                                  | 西南 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_7beeQrL3E_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科三房东南，高楼层，视野好，采光充足，配套齐全必看好房,538万,中楼层                                    (共44层)                                                                      | 2017年建 |                                3室2厅 | 88.99平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_eo3AARXD1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,公园里四期 满五年 带装修 价格可谈 业主换房,530万,中楼层                                    (共45层)                                                                      | 2017年建 |                                3室1厅 | 88.97平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_7Ymsjqz2X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里三期 南北通看公园四房三卫 房子已满5年,780万,低楼层                                    (共37层)                                                                      | 2016年建 |                                4室1厅 | 150.2平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_JrM8kM96q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一3+1房，中间楼层，方正实用户型,488万,中楼层                                    (共11层)                                                                      | 2006年建 |                                3室1厅 | 90.51平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_bPodJ5Fck_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,阳光翠园 3室1厅 东 东南 南,365万,高楼层                                    (共21层)                                                                      | 2003年建 |                                3室1厅 | 93.4平米                                  | 东 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_zRGxYekQG.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,安鸿峰景苑 3室1厅 东南,380万,中楼层                                    (共21层)                                                                      | 2014年建 |                                3室1厅 | 87.43平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_n9iqcVsoF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,红本满5年 中间楼层双阳台 客厅带大阳台必看好房,240万,中楼层                                    (共11层)                                                                      | 2005年建 |                                1室1厅 | 43平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_dl2eCz6rR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,南威朝南两房，中间楼层采光充足必看好房,300万,中楼层                                    (共7层)                                                                      | 1997年建 |                                2室1厅 | 80.03平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_W5DoF9eXy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,鸿润豪苑精装修大1房，已满5年 视野景观好,285万,低楼层                                    (共18层)                                                                      | 2009年建 |                                2室1厅 | 57.29平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_iEckv3MEO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科四期三房南向，满五楼层视野好，采光充足配套齐全,580万,高楼层                                    (共45层)                                                                      | 2017年建 |                                3室2厅 | 88.91平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_PveSGEsXJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五年唯一 红本在手 中等楼层 看山看水,520万,中楼层                                    (共41层)                                                                      | 2015年建 |                                3室1厅 | 88.48平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_vcAHgmXMc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,业主自住，装修保养好，户型方正，居家舒适,480万,低楼层                                    (共41层)                                                                      | 2015年建 |                                3室1厅 | 88.68平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_rAzyjk09o_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,水山缘 满5年红本在手 唯一物业 业主诚心出售,276万,中楼层                                    (共11层)                                                                      | 2006年建 |                                1室1厅 | 49.51平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_89852lpr4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,公园6号三房，景观好房诚意出售,520万,高楼层                                    (共45层)                                                                      | 2017年建 |                                3室1厅 | 88.97平米                                  | 东,http://ke-image.ljcdn.com/440300-inspection/pc1_F4YFcYUDP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,此房满五年唯一的，交易税费少。业主自住，保养好,523万,低楼层                                    (共41层)                                                                      | 2015年建 |                                4室1厅 | 87.36平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_detGEQbZq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,恒大国香山高楼层景观视野好 满5年唯一 房子保养好,500万,中楼层                                    (共41层)                                                                      | 2015年建 |                                3室2厅 | 87.74平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_i4ABosXET_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,鸿润豪苑，满五年唯一 中间楼层 安静小区看房方便！必看好房,210万,中楼层                                    (共18层)                                                                      | 2009年建 |                                1室1厅 | 46.96平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_aNPmP93A0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五 地铁口 佳兆业物业 朝南高楼层精装两房必看好房,455万,高楼层                                    (共30层)                                                                      | 2013年建 |                                2室1厅 | 66.75平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_jHLnOVuQR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,油画苑 精装南向大四房 主卧带高阳台 满五红本税少,538万,高楼层                                    (共21层)                                                                      | 2010年建 |                                4室2厅 | 132.8平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_qcMYcrqJw.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,高楼层   精装五房户型   观山望水视野好,620万,高楼层                                    (共41层)                                                                      | 2015年建 |                                5室1厅 | 88.9平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_tyBfSGFvD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,此房满五唯一，实用面积大，配套成熟,350万,高楼层                                    (共7层)                                                                      | 1997年建 |                                3室1厅 | 90.44平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_unrVkMpIB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一，中高楼层，视野开阔，居家舒适安静,630万,中楼层                                    (共33层)                                                                      | 2015年建 |                                4室2厅 | 109.85平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_MEjONjucE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五，房间都朝南向，户型方正，看花园,500万,中楼层                                    (共41层)                                                                      | 2015年建 |                                3室1厅 | 86.23平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_LnEZHHcB2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一，高层高楼层（非顶层），公园物业,390万,高楼层                                    (共11层)                                                                      | 2005年建 |                                3室2厅 | 77.24平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_a9df3ocdc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园6号 4室1厅 东南,660万,中楼层                                    (共45层)                                                                      | 2017年建 |                                4室1厅 | 125.34平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_kmVHC5kUn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,木棉湾地铁口佳兆业新都汇两房，朝南方正，高层，税少,450万,高楼层                                    (共30层)                                                                      | 2013年建 |                                2室1厅 | 66.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_XhZPkAR7T_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,恒大国香山精致装修看风景大入户的自住大三房,487.8万,高楼层                                    (共42层)                                                                      | 2015年建 |                                3室1厅 | 87.66平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Lh5ZGTeYa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,此房已满5年，朝南看小区公园景观视野好 业主诚心出售,525万,高楼层                                    (共41层)                                                                      | 2015年建 |                                3室1厅 | 87.01平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_1wCehdwb2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,鸿润豪苑 两房 满5年红本在手 唯一 税费少 可看山景,325万,高楼层                                    (共18层)                                                                      | 2009年建 |                                2室2厅 | 63.94平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_H67HvPWKo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,大世纪水山缘经典方正三房 带15平的平台花园必看好房,365万,低楼层                                    (共11层)                                                                      | 2004年建 |                                3室2厅 | 63.34平米                                  | 西南 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_FdgjQTNsl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园里两房，看花园安静，业主重新装修过保养好,295万,低楼层                                    (共46层)                                                                      | 2016年建 |                                2室2厅 | 63.21平米                                  | 西北,http://ke-image.ljcdn.com/440300-inspection/prod-99edfc57-e09e-4cf9-9473-0098a9b73e86.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,求水山公园脚下朝南两房 高层采光通风佳满五年唯一,280万,高楼层                                    (共6层)                                                                      | 1996年建 |                                2室1厅 | 75.45平米                                  | 西南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_R39oQNhY0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五唯一税费少，过户快无遮挡采光必看好房,330万,高楼层                                    (共7层)                                                                      | 1993年建 |                                3室1厅 | 89.6平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_vWFMWggxE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科四期17年底交房，南向视野佳，适合居家,560万,高楼层                                    (共45层)                                                                      | 2017年建 |                                3室2厅 | 88.91平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_7OCk8OyM6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科公园6号 4室1厅 东南,830万,高楼层                                    (共37层)                                                                      | 2017年建 |                                4室1厅 | 150.02平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/test-f85ce128-1b69-4697-923a-73ee568bd51b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,看山景精装修大四房朝南向采光通透满五年无增值税必看好房,550万,中楼层                                    (共33层)                                                                      | 2014年建 |                                4室1厅 | 115.4平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_wMpByqRnH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,万科四期南向看樟树布花园 高楼层 景观视野好,750万,中楼层                                    (共44层)                                                                      | 2017年建 |                                4室2厅 | 125.37平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-a15037ae-8d17-4e6a-9d8b-72bae5eb8c83.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,满五年，唯一，红本，带天台花园，业主自住，保养好必看好房,260万,高楼层                                    (共8层)                                                                      | 2001年建 |                                2室1厅 | 60.72平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_vJXzEdSQG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉南岭,佳兆业新都汇 1室1厅 南,280万,低楼层                                    (共41层)                                                                      | 2013年建 |                                1室1厅 | 42.32平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Gcd1kHpE7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
