20210128,龙岗区,布吉石芽岭,满五年，一梯二户，南北通，厅出阳台，通风采光好必看好房,430万,高楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 77.33平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_udlLYaJ58_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线石芽岭站物业大社区纯板楼设计实用高人车分流,450万,高楼层                                    (共6层)                                                                      | 2006年建 |                                4室2厅 | 80.63平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_R1UuXmyIN.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,经典户型，厅出阳台，朝东，看花园，其中一个次卧朝南,660万,高楼层                                    (共32层)                                                                      | 2016年建 |                                3室1厅 | 87.68平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_y73lEJFlt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭片区三房精装修户型过公园适合居家必看好房,417万,低楼层                                    (共18层)                                                                      | 2008年建 |                                3室1厅 | 71.55平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_0cR1Ec8Wr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,半岛苑 满五唯一  免个税  户型格局好,389万,中楼层                                    (共8层)                                                                      | 2000年建 |                                3室2厅 | 83.63平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_ZkITmNyJH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,万隆苑 2室1厅 东北,288万,中楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 64.66平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_HOKr1eWPx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年  精装修 业主自住   看房方便  可拎包入住,668万,低楼层                                    (共32层)                                                                      | 2016年建 |                                3室2厅 | 78.55平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ieUUKz39Z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,中海怡瑞实用三居室，满五唯一、红本在手必看好房,468万,中楼层                                    (共29层)                                                                      | 2007年建 |                                3室1厅 | 92.49平米                                  | 西南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_L8R87mrEp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年税费少 现在诚心卖 户型好 采光好,600万,低楼层                                    (共33层)                                                                      | 2008年建 |                                4室2厅 | 124.6平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_zwXQ78MQg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,大户5改4房，高层看花园泳池，精装修，14号线300米！,1150万,高楼层                                    (共32层)                                                                      | 2016年建 |                                5室2厅 | 110平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/fb7967b2-554e-4ab0-af07-e3c39a54de33_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,石芽岭公园旁 尚峰花园高层精装2房出售 满五唯一新上,515万,中楼层                                    (共30层)                                                                      | 2016年建 |                                2室1厅 | 66.58平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_V7Ae5z2XZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房看花园，正朝南采光好、视野好、好楼层、精装修。,920万,中楼层                                    (共33层)                                                                      | 2016年建 |                                4室1厅 | 129.96平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZjJ9nt1EP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,房子满五唯一税费少，诚心出售，中间楼层，采光视野好,300万,高楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 56.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_oKXQfDdaN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房为专享专梯入户，私密性强，超南看山景，住家安静新上,400万,中楼层                                    (共18层)                                                                      | 2008年建 |                                2室1厅 | 69.99平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_T9xicyd1l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙园意境 4室1厅 南,750万,高楼层                                    (共18层)                                                                      | 2008年建 |                                4室1厅 | 137.15平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_B704y9zm4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,精装修，户型方正，看山视野宽阔，采光充足。新上,620万,高楼层                                    (共30层)                                                                      | 2016年建 |                                3室1厅 | 73.77平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_fIIotoZzh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房业主诚心出售，自住，高拓展,555万,高楼层                                    (共22层)                                                                      | 2008年建 |                                4室1厅 | 87.9平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_9IetZ7DSL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五红本在手，户型方正，中间楼层，采光充足,339.5万,中楼层                                    (共6层)                                                                      | 2006年建 |                                2室1厅 | 64.62平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_JlSCBeAhD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,户型方正，朝南向采光好，满五唯一税费少。,850万,中楼层                                    (共33层)                                                                      | 2017年建 |                                3室1厅 | 89.58平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_C5sZPAZZK.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,宇宏健康花城 5室2厅 南新上,1250万,高楼层                                    (共32层)                                                                      | 2017年建 |                                5室2厅 | 142.8平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_7BPJxHhd0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房专享专梯入户，私密性强，超南看山景，视野无遮挡新上,420万,中楼层                                    (共18层)                                                                      | 2008年建 |                                2室1厅 | 72.12平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_yBEGxqFLF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,万隆苑，满5年，唯一，诚心出售新上,298万,高楼层                                    (共6层)                                                                      | 2002年建 |                                2室1厅 | 56平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_jOk2E52mC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯一南向三房，欧式装修舒适温馨，诚意出售中！新上,718万,低楼层                                    (共32层)                                                                      | 2016年建 |                                3室1厅 | 77.87平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_P56S7szmJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,中海怡瑞山居，电梯大三房，满5年，南北通透,520万,高楼层                                    (共29层)                                                                      | 2007年建 |                                3室2厅 | 102.61平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_rLVLCEFDv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五不唯一，精装修楼层好，厨房出有个大花园。,390万,低楼层                                    (共7层)                                                                      | 2000年建 |                                3室1厅 | 82.82平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_Gafp3ymh6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五年税费少，近公园，安静居家,550万,高楼层                                    (共11层)                                                                      | 2002年建 |                                4室1厅 | 111.61平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_n0te6Vp0Z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙园意境 4室1厅 南,750万,高楼层                                    (共18层)                                                                      | 2008年建 |                                4室1厅 | 137.15平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Dq5V5qnQh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,健康花城满5年，高楼层，朝南的大户型,1298万,高楼层                                    (共33层)                                                                      | 2016年建 |                                5室2厅 | 142.71平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_YZh5UKcas_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,龙岗 华浩源四期 朝南 客厅出阳台大三房 满五唯一红本,530万,高楼层                                    (共19层)                                                                      | 2008年建 |                                3室1厅 | 95.3平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_fKH7AA5Ao_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯一税费少，业主急售含车位,568万,高楼层                                    (共18层)                                                                      | 2008年建 |                                3室1厅 | 109.97平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_fMvqiWCmg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,中海怡瑞山居电梯三房，满5年，业主诚心出售,500万,低楼层                                    (共29层)                                                                      | 2007年建 |                                3室2厅 | 92.49平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_F0nXYNHqH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房小区中间位置南北朝向安静适合居住,580万,中楼层                                    (共11层)                                                                      | 2006年建 |                                3室1厅 | 84.56平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_TqX4O9HDP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,稀有的毛坯大五房，采光充足，看石芽岭山,1150万,低楼层                                    (共32层)                                                                      | 2016年建 |                                5室1厅 | 110.68平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_scNIGMpqA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线布吉石芽岭朝南满五唯一4房高楼层采光视野好.,570万,高楼层                                    (共29层)                                                                      | 2014年建 |                                4室2厅 | 89.86平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_7VnbHgb5U_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉 龙园意境 满五年 朝南客厅出阳台 精装修大四房,700万,低楼层                                    (共18层)                                                                      | 2008年建 |                                4室2厅 | 136.83平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Y10LYZEhq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年 朝南 客厅出阳台 通风采光好 看房方便 龙岗,700万,低楼层                                    (共18层)                                                                      | 2008年建 |                                4室2厅 | 137平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_e0b868ose_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉石芽岭四房 客厅带大阳台视眼好 满五唯一居家舒适必看好房,568万,中楼层                                    (共22层)                                                                      | 2008年建 |                                4室2厅 | 88.38平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_QqO7h0ADG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,精装三房 朝向好 户型方正 楼层好,450万,中楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 87.6平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_OIieaCsJg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,来座山高楼层看石芽岭山，满五唯一，景观好，视野宽阔,950万,中楼层                                    (共32层)                                                                      | 2011年建 |                                4室1厅 | 124.6平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_YFns9CLjT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年唯一，税费少，业主诚心出售，价格可谈必看好房,620万,低楼层                                    (共32层)                                                                      | 2016年建 |                                3室2厅 | 75.97平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_vsH9APopZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,鸿荣源尚峰 5室1厅 东南,1100万,中楼层                                    (共32层)                                                                      | 2016年建 |                                5室1厅 | 113.56平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_1Hd7e0qis_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房是一手业主，满五唯一，红本在手,400万,低楼层                                    (共11层)                                                                      | 2007年建 |                                2室2厅 | 76.62平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_6NTCTGSty_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,万科物业花园中间住家安静精装修,388万,中楼层                                    (共7层)                                                                      | 2000年建 |                                3室2厅 | 85.65平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/5682bed2-6e75-46d6-af79-fa6bfba75c36_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,慢城三期 4室1厅 东南,600万,中楼层                                    (共22层)                                                                      | 2008年建 |                                4室1厅 | 87.9平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_TyhVs1LY1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年唯一  无个税   精装修  可拎包入住,488万,低楼层                                    (共30层)                                                                      | 2016年建 |                                2室1厅 | 68.65平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_AAFlGPLdE.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年唯一 无个税  中高楼层  采光通风好,490万,高楼层                                    (共30层)                                                                      | 2016年建 |                                2室1厅 | 66.58平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_vqyFR37kA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,华浩源 景园 满五唯一 大三房 高楼层 精装修大阳台,530万,高楼层                                    (共19层)                                                                      | 2008年建 |                                3室1厅 | 92.6平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_7DCHFMD8V_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,中海怡瑞山居，方正户型，一梯两户，南向，满五唯一必看好房,348万,高楼层                                    (共6层)                                                                      | 2006年建 |                                2室2厅 | 66.01平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_TbeZX5Se8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉万隆苑标准三房 朝南看花园朱建军,320万,低楼层                                    (共6层)                                                                      | 2002年建 |                                3室1厅 | 65.35平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_4BrImZIyn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯壹 南北朝向 带储物间 业主诚心放卖 价格可谈,729万,中楼层                                    (共33层)                                                                      | 2016年建 |                                3室2厅 | 88.86平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_wPAs5ZmeD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,石芽岭大社区次新房 高层观景 只等您来！必看好房,488万,高楼层                                    (共30层)                                                                      | 2016年建 |                                2室1厅 | 68.56平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_Qnbx7qzr8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,布吉慢城三期客厅卧室双出阳台大两房,468万,高楼层                                    (共22层)                                                                      | 2008年建 |                                2室1厅 | 81.54平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_coni9b5Nh.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,客户关注房源 布吉14号线石芽岭朝南两房 业主诚意出售必看好房,420万,低楼层                                    (共17层)                                                                      | 2008年建 |                                2室1厅 | 76.42平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_yP2mzZdgC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五年了，朝南看山景. 采光好。税费少,450万,中楼层                                    (共34层)                                                                      | 2008年建 |                                2室2厅 | 76.47平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_d6VVeVeF7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,中海怡瑞山居 满5年 红本在手 多层三房 南向,410万,高楼层                                    (共6层)                                                                      | 2006年建 |                                3室2厅 | 88平米                                  | 东南 南 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_0utB9bToW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,楼层佳   户型好  多层实用率高   业主诚心放卖,488万,中楼层                                    (共6层)                                                                      | 2008年建 |                                3室2厅 | 85.98平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_f2J8pjJZr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房满五唯一，红本在手，税费低，配套设施齐全,550万,低楼层                                    (共11层)                                                                      | 2002年建 |                                4室2厅 | 109.59平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/54b31584-614a-43f9-9b14-806ab448c013_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,14号线大三房，品质居住，现房现,700万,低楼层                                    (共33层)                                                                      | 2017年建 |                                3室1厅 | 89.25平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qLMzFVL5W_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,十一月满五，一手业主税少高层精装大五房，使用率高,1200万,低楼层                                    (共32层)                                                                      | 2016年建 |                                5室1厅 | 113.25平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_OtOjeobs2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,半岛苑花园社区，居住舒适，万科管理，环境优雅。,460万,高楼层                                    (共11层)                                                                      | 2002年建 |                                4室2厅 | 110.18平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/4e8f8941-14e4-4f34-98e5-d21e1b069537_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,中海怡瑞山居 3室1厅 南,500万,高楼层                                    (共29层)                                                                      | 2007年建 |                                3室1厅 | 102.61平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/pc1_R61tlJZNe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年 布吉 石芽岭 龙园意境 大四房  红本在手税费少,800万,高楼层                                    (共18层)                                                                      | 2008年建 |                                4室2厅 | 137.27平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ir1ZPiR6y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五年 布吉 石芽岭 龙园意境 大四房  红本在手税费少,800万,高楼层                                    (共18层)                                                                      | 2008年建 |                                4室2厅 | 137.27平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_nrvUyfB1R_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,小区中间位置，一览小区全景，朝南风景好,748万,中楼层                                    (共33层)                                                                      | 2017年建 |                                3室2厅 | 89.4平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_u8yJcmhl6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,中海两房 满5年唯一  一梯两户 朝南 厅出阳台,352万,高楼层                                    (共6层)                                                                      | 2006年建 |                                2室2厅 | 66.08平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/26ed80ef-4005-4a3d-a6ce-76b8472a9569_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,石芽岭全新小区  优质两房 安静舒适 采光充足必看好房,260万,低楼层                                    (共27层)                                                                      | 2016年建 |                                2室1厅 | 58.69平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_wkql7eJdC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五不唯一，红本在手，无抵押，业主还完房贷了,450万,中楼层                                    (共6层)                                                                      | 2006年建 |                                3室1厅 | 87.36平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/2680ec64-a411-496e-b73b-49ec55292e4c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,满五唯一,精装修，看花园安静，业主诚心出售，！,842万,低楼层                                    (共31层)                                                                      | 2016年建 |                                4室1厅 | 112.02平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_mzzZy6CAU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,龙岗区,布吉石芽岭,此房南北通，高楼层，业主自住精装修，前后看花园。,1200万,中楼层                                    (共33层)                                                                      | 2017年建 |                                5室2厅 | 143.03平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_KKwinmNLl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
