20210128,福田区,新洲,福田新洲7号线沙尾地铁口两房出售必看好房,600万,高楼层                                    (共32层)                                                                      | 2007年建 |                                2室2厅 | 73.42平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/446a2f5f-1c91-4e43-afab-84322363ffb6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,韵动家园 红本满五 大三房 看海景房,880万,中楼层                                    (共29层)                                                                      | 2005年建 |                                3室1厅 | 106.39平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/f8a8c981-8eb4-43a8-a37e-491e4dbfb713_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,安静 正南 低税 方正两房 光线好必看好房,550万,低楼层                                    (共33层)                                                                      | 2007年建 |                                2室1厅 | 59.49平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/cd98d627-5fbe-43d9-971c-3eba3ecacfaf_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,高层精装两房，业主诚心出售，户型方正实用必看好房,532万,高楼层                                    (共33层)                                                                      | 2007年建 |                                2室1厅 | 59.1平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/f461d33a-399b-4100-a32f-df90ddee8246_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,地铁口 满五红本 业主诚心卖 期待您的咨询新上,335万,高楼层                                    (共32层)                                                                      | 2007年建 |                                1室0厅 | 39.01平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/c32342b0-4e28-4b5d-9053-7c8126861ec4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,祥云天都精装两房南向采光好地铁口物业户型方正,639万,高楼层                                    (共32层)                                                                      | 2007年建 |                                2室1厅 | 82.02平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_FxEdKOQ1x_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,韵动家园南向三房，满五唯一红本，看深圳湾海景。,810万,中楼层                                    (共29层)                                                                      | 2005年建 |                                3室2厅 | 88平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZkSQxlBCQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,蜜园 2室2厅 东北新上,550万,高楼层                                    (共33层)                                                                      | 2007年建 |                                2室2厅 | 59.48平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_Rwwk88cZm_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,福田车公庙 地铁口 小户型 方正实用,425万,高楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 48.49平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/950b8e03-1289-4152-ba2e-c4704ae523d7_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,价格税费都好商量 诚心售安静两房 采光足新上,520万,低楼层                                    (共33层)                                                                      | 2007年建 |                                2室1厅 | 57.42平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/d4189945-0f8b-4eff-8882-4260dbf56e7b_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,韵动家园 1室1厅 西新上,395万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 41.28平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/69b06e10-50a4-47c4-83f1-2763ec8be0dd_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,韵动家园 2室1厅 北,668万,中楼层                                    (共29层)                                                                      | 2005年建 |                                2室1厅 | 76.76平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/13795734-d0a9-4447-bc67-51ca452dc2a6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,福田新洲安静舒适适合自住小区业主诚心出售,560万,中楼层                                    (共33层)                                                                      | 2007年建 |                                2室1厅 | 57.55平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/6d69c1ee-ec29-4e6a-86c9-6e2e1f76caff_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,沙尾地铁口祥云天都安静单间，拎包入住，满五年税少。,336万,低楼层                                    (共32层)                                                                      | 2007年建 |                                1室0厅 | 38.97平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/548e0e6d-265d-43b5-9aee-f82d05922844_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,绿景物业，视野开阔，户型方正，南北对流通风好,850万,低楼层                                    (共32层)                                                                      | 2008年建 |                                2室2厅 | 66.92平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/41deec4f-9d04-4e39-8cbf-6c9f1491f273_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,大金沙地铁口物业，满五唯一，方正大两房,700万,中楼层                                    (共32层)                                                                      | 2007年建 |                                2室2厅 | 79.48平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ATxUBfkkC.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五好房。高楼层采光好，正规户型房子，采光通透！,600万,高楼层                                    (共29层)                                                                      | 2005年建 |                                3室1厅 | 64.21平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/c42a49ed-c7b1-43e3-8258-2c09bfb30cbd_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五年唯一，端头位采光好，视野开阔方便看房诚心出售,380万,低楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 40.96平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/f0c7a486-55fd-4845-8b8a-3b7552e3c414_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一朝南两房，采光通风好，少有韵动安静的两房必看好房,630万,低楼层                                    (共29层)                                                                      | 2005年建 |                                2室1厅 | 75.13平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/2d1184b0-baab-4f29-b280-ae314b71816c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,喜欢高层视野好的房子吧 欢迎咨询,550万,高楼层                                    (共33层)                                                                      | 2007年建 |                                2室1厅 | 60.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/eb7990c6-0f9d-48d8-a2ca-4bc0ecac10b5_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,南溪新苑标准一房一厅 通风采光好 业主诚心卖,342万,中楼层                                    (共20层)                                                                      | 2006年建 |                                1室1厅 | 41.37平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/51bb92be-4b6b-4035-bf20-25c6ed25fd39_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,楼层好 采光好 满五年 业主诚心卖 看房有钥匙,340万,中楼层                                    (共33层)                                                                      | 2007年建 |                                1室1厅 | 34.15平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/0ea79d60-5902-4046-b458-bf421abaf252_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,祥云天都世纪 地铁口物业 双阳台 户型方正实用 地段好,450万,高楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 50平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_3EjtKGIXm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,小区是2013年入伙的次新房，满五唯一，红本在手。。。必看好房,560万,低楼层                                    (共32层)                                                                      | 2012年建 |                                2室1厅 | 63.83平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/0c8528c6-0290-4b61-948a-924aecd7d916_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一，视野开阔，南北对流通风好，带入户花园,840万,中楼层                                    (共32层)                                                                      | 2008年建 |                                2室1厅 | 66.92平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/f293eb40-d73a-4fde-9a6d-a3b5376b22c3_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五年，户型方正3房2厅，高楼层安静，东南向，视野好,720万,中楼层                                    (共33层)                                                                      | 2007年建 |                                3室2厅 | 80.7平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/cb18d9ea-2015-4625-b60c-c89ac223baee_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,荔树人家体育公园旁，地铁口物业，小高层实用,295万,中楼层                                    (共11层)                                                                      | 2001年建 |                                1室1厅 | 35.18平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/c9342a85-6fcc-4330-b34f-ef29809af73e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,地铁口物业，品质社区，拎包入住，业主诚心出售必看好房,745万,低楼层                                    (共29层)                                                                      | 2005年建 |                                2室1厅 | 77.49平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/c95aae30-1887-404a-8b97-f156455b774f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,南溪新苑，客厅出大阳台，标准一房一厅，诚心出售,340万,高楼层                                    (共20层)                                                                      | 2006年建 |                                1室1厅 | 41.34平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/a2ba990e-a046-4548-9213-0e256982d78e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一，采光好 厅出阳台 诚信出售,840万,低楼层                                    (共32层)                                                                      | 2012年建 |                                4室1厅 | 80.42平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/bcd58280-1f70-4351-8d67-df238ea3afc6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,绿景新美域 园林式社区，房子中高层 安静.视野好必看好房,450万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 44.28平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/ac963c7e-072c-4ed9-92ea-9b456e3f6aff_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,高尔夫景观，业主诚心卖，价格可以谈，大两房。必看好房,660万,高楼层                                    (共29层)                                                                      | 2005年建 |                                2室2厅 | 83.25平米                                  | 南 北,http://ke-image.ljcdn.com/440300-inspection/prod-81d36a8e-44a0-4464-9b57-ed74cac958ce.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五年唯一，户型方正两房，高层安静,522万,中楼层                                    (共33层)                                                                      | 2007年建 |                                2室1厅 | 57.53平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/6b4ee583-c709-4481-8133-21abea4732bd_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,绿景新苑 大两房，地铁口物业一套属于你自己的房子.,720万,中楼层                                    (共11层)                                                                      | 2002年建 |                                2室1厅 | 87.4平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/d9602792-f8ac-4425-b1e5-b343c8b4cab1_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,楼层高采光通风好,视野开阔好选择,345万,中楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 39.33平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/a57cf2e2-e84d-489b-aa68-b61fd0bfda1a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一红本，东南朝向采光通风佳,650万,高楼层                                    (共32层)                                                                      | 2007年建 |                                2室1厅 | 86.69平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/002bab85-6632-431a-b0be-2b7f3ba8d42f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,精品三居 五年唯一  南向无摭挡,1120万,中楼层                                    (共32层)                                                                      | 2008年建 |                                3室1厅 | 97.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/c05ca7c8-6502-4b00-8676-d8d58ae0e8a0_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,体育公园旁，地铁物业，小高层实用精装,295万,中楼层                                    (共11层)                                                                      | 2001年建 |                                1室1厅 | 35.18平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/3dc7e3c9-a53d-49e7-89f6-b9ea4c464da3_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,朗晴馨洲 精装方正满5年2房，布局实用，税费少必看好房,535万,高楼层                                    (共32层)                                                                      | 2003年建 |                                2室1厅 | 65.24平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_7Usr4HY6k_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,绿景花园两房地铁口新装修婚房，拎包入住，,700万,高楼层                                    (共29层)                                                                      | 2005年建 |                                2室1厅 | 73.14平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_zDrHNZBBT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五年欠款少，视野开阔，安静不朝马路,1200万,低楼层                                    (共32层)                                                                      | 2008年建 |                                3室2厅 | 97.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/4f076f15-3bd1-4d49-990c-9d22dd08dbca_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,新洲大厦三房  税少 装修后一直业主自住 高层视野好必看好房,598万,中楼层                                    (共33层)                                                                      | 1996年建 |                                3室2厅 | 91.92平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/44250755-8e95-44f1-a38a-0fc9f555af64_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,楼层高采光通风好,视野开阔好选择,350万,高楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 39.32平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/2115b99f-81d0-4a21-a8e3-7f0424c2bb05_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,绿景地产开发，大两房，双阳台。双地铁口物业必看好房,560万,中楼层                                    (共20层)                                                                      | 2006年建 |                                2室1厅 | 79.44平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/3282bb9e-f5dd-4db7-a650-f4eb0a29b2a3_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,业主诚心出售，看房方便，满四年,432万,中楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 50平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/61b8ab65-db28-4bcc-be8b-a781bac4b0e1_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,房子满四年，月底空出看房方便。,320万,低楼层                                    (共32层)                                                                      | 2007年建 |                                1室1厅 | 38.96平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/b4062866-9e4f-4ab6-ad09-193eb075d59d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,近地铁，少欠款，总价低好上车。必看好房,308万,高楼层                                    (共32层)                                                                      | 2007年建 |                                1室0厅 | 34.46平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_Bcoyb9bNK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五年，户型方正3房，高层安静，看深圳湾大桥红树林,733万,高楼层                                    (共33层)                                                                      | 2007年建 |                                3室2厅 | 80.73平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/e683dbb3-ce83-4bd9-8097-a49539761d25_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,蜜园经典一房一厅，格局好，户型方正 楼层好 带阳台必看好房,435万,中楼层                                    (共33层)                                                                      | 2007年建 |                                1室1厅 | 46.18平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_EQdzmySJj.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,精装2年自住房，沙尾7号线地铁口，即买即租,600万,低楼层                                    (共32层)                                                                      | 2007年建 |                                2室1厅 | 75.94平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/8fd0fc99-d6e9-436e-990a-67d366b00745_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,此房满五年，税费少。精装修刚需两房，带阳台,750万,中楼层                                    (共32层)                                                                      | 2008年建 |                                2室2厅 | 70.05平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/b6d8c960-d74f-42f4-9724-fef34561a557_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,新洲花园1梯2户，南北通3房， 看花园近福田CBD必看好房,620万,高楼层                                    (共8层)                                                                      | 1993年建 |                                3室1厅 | 74.83平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/5873b60c-eecf-4140-ba16-0f731cce482d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五唯一，看房方便，装修还挺好哦,645万,高楼层                                    (共30层)                                                                      | 2006年建 |                                2室1厅 | 66.26平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/adb54dad-2d81-4c08-be0f-1cbe27d87336_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,地铁口物业，交通便利，朝向好，看房方便，诚心出售。,350万,低楼层                                    (共29层)                                                                      | 2005年建 |                                1室1厅 | 40.16平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/0068637b-79bd-4006-b021-9c14c847a663_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,新洲刚需大三房改四房，业主诚心出售，满五红本,720万,高楼层                                    (共8层)                                                                      | 1999年建 |                                4室1厅 | 93.27平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/e48482fa-0c22-4345-b9eb-9d9f2569cf80_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五年不唯一，税费少，西南向，采光好。,800万,中楼层                                    (共33层)                                                                      | 2000年建 |                                3室2厅 | 95.88平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/9270f16b-cbb6-427b-b479-ac5411644f7a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,东南向，高楼层，刚需两房，满五税费低,560万,高楼层                                    (共32层)                                                                      | 2008年建 |                                2室1厅 | 49.06平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/d6cfcf0f-d7cd-43a6-97ec-05ac2c32bb46_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,两梯三户，全南向户型，位置安静，满四红本在手。,990万,高楼层                                    (共30层)                                                                      | 2007年建 |                                3室1厅 | 121.7平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/799e9157-7d6b-418f-a53f-ea2a3bf44643_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,福田绿景花园 精装三房 满五红本 地铁口物业 品质小区,960万,低楼层                                    (共33层)                                                                      | 2005年建 |                                3室1厅 | 92.99平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/fa399879-a753-46c4-8353-59e6e3fc8106_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五年，唯一住宅，南向精装修，韵动家园地铁口三房,750万,高楼层                                    (共29层)                                                                      | 2005年建 |                                3室2厅 | 87.91平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/prod-f42bc772-0ff8-4eb9-a941-d2110a0961d8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,满五年 户型方正 楼下就是地铁口跟家乐福,343万,中楼层                                    (共32层)                                                                      | 2007年建 |                                1室0厅 | 38.93平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/5f297901-661f-4047-9e36-0b3147e31c81_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,福田购物公园旁一房 总价低 地理位置好 方正南向,318万,低楼层                                    (共32层)                                                                      | 2003年建 |                                1室1厅 | 35.84平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/9163317e-fc0b-450b-bcd0-a847b4262656_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,近福田体育公园，满五唯一，正规三房,736万,中楼层                                    (共29层)                                                                      | 2005年建 |                                3室2厅 | 87.94平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/059c0643-4441-43cc-a882-d5a61eb701fa_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210128,福田区,新洲,业主诚心卖   本小区抢手户型   精装三房必看好房,700万,中楼层                                    (共33层)                                                                      | 2007年建 |                                3室1厅 | 74.45平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/254903c5-df72-4bf1-89fd-ae51bcab9d6b_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
