20210126,白云,夏茅,富力城南区  望小区花园，安静，保养好，自住,242万,中楼层                                    (共18层)                                                                      | 2005年建 |                                2室2厅 | 83.62平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_1GqJQ5ggv.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 对流户型 带大入户花园 单边位,409万,中楼层                                    (共18层)                                                                      | 2009年建 |                                3室2厅 | 126.68平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_OPtx5v0tc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,品质复式，四阳台采光好，视野开阔,310万,高楼层                                    (共18层)                                                                      | 2007年建 |                                4室1厅 | 84.45平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_2gyCqNpLC.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,户型方正，视野开阔，光线充足，精装修保养好,390万,中楼层                                    (共18层)                                                                      | 2005年建 |                                3室2厅 | 123.95平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_33xgteiMR.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,中高楼层  南大三房带主套 全新装修,330万,中楼层                                    (共18层)                                                                      | 2005年建 |                                3室2厅 | 111.07平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_zRkpo4e6X.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,户型方正，精装修，保养佳，光线好,260万,中楼层                                    (共13层)                                                                      | 2010年建 |                                2室2厅 | 86.73平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_nA7CUDHC1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州市司法学院 实用两房 南向采光,125万,高楼层                                    (共9层)                                                                  2室1厅 | 45.47平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_JdWkgGu6k.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格 大三房 双阳台  通风光线足 视野开阔,350万,中楼层                                    (共13层)                                                                      | 2013年建 |                                3室2厅 | 99.09平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_XeXB00ja3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格 小户型 温馨小家庭 交通便利,150万,高楼层                                    (共24层)                                                                      | 2013年建 |                                1室1厅 | 48.32平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/prod-63d331c5-fd1d-45f1-8b82-5f2d9c968fdf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格  朝向好 通风光线足 格局好 精致装修,335万,高楼层                                    (共13层)                                                                      | 2013年建 |                                3室2厅 | 100.86平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_xYXxLOuBB.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,南区两房，安静望花园，中等楼层，采光好,240万,中楼层                                    (共18层)                                                                      | 2007年建 |                                2室2厅 | 83.72平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_7IrpltXGB.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格  纯南向一房  格局方正 安静舒适,157.5万,高楼层                                    (共24层)                                                                      | 2013年建 |                                1室1厅 | 45平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_8XhvCsQl3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,机床厂大院 南北通透 一梯两户 温馨三房,190万,高楼层                                    (共6层)                                                                      | 1995年建 |                                3室2厅 | 86.81平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_UnZR05b4r.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城北区 南向小三房 保养好 安静舒适,290万,低楼层                                    (共12层)                                                                      | 2008年建 |                                3室2厅 | 93.72平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ajWrDNRPr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城南区 精装保养好 全景望湖 已改三房,253万,低楼层                                    (共18层)                                                                      | 2007年建 |                                3室2厅 | 83.76平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_hUlYaDzim_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城 南区  高楼层 小三房,270万,中楼层                                    (共17层)                                                                      | 2008年建 |                                3室1厅 | 87平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_DEnHzn3jP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城北区，望花园，采光好，户型方正,620万,中楼层                                    (共17层)                                                                      | 2010年建 |                                5室2厅 | 175.64平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_CAl4j9Es9_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 格局方正 南区望花园 精装大三房,358万,高楼层                                    (共18层)                                                                      | 2007年建 |                                3室1厅 | 113.42平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/pc1_8aSjzSGic_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城北区 东南向 两房 景观好 南北对流,210万,中楼层                                    (共18层)                                                                      | 2009年建 |                                2室1厅 | 76.84平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_YFfFymORy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,花园中间小三房，安静望湖，新装修,290万,低楼层                                    (共17层)                                                                      | 2007年建 |                                3室2厅 | 91.74平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_qWAcWtwOq.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城三房位置望湖景。。。。。。。。。。。,330万,中楼层                                    (共16层)                                                                      | 2007年建 |                                3室2厅 | 102.72平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_xjw9qoqHv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格 满五唯一  电梯房  业主诚心卖,310万,中楼层                                    (共24层)                                                                      | 2013年建 |                                2室2厅 | 85.44平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Ud4I0GYHF.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,此房过五唯一，精装修，准地铁物业,298万,低楼层                                    (共24层)                                                                      | 2013年建 |                                2室1厅 | 85.44平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/prod-456d97f0-7aca-4b6e-9a4a-b2f68b0bf734.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城，大户型一个房产证 ，高层采光通透,550万,中楼层                                    (共17层)                                                                      | 2010年建 |                                6室2厅 | 175.63平米                                  | 西北,http://ke-image.ljcdn.com/440100-inspection/prod-f202d570-0b90-4e6c-bc10-de81965f7285.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,格局大 客厅宽 采光好 温馨保养好 精装大三房,370万,低楼层                                    (共18层)                                                                      | 2005年建 |                                3室2厅 | 124.94平米                                  | 东,http://ke-image.ljcdn.com/440100-inspection/prod-50d8edbc-c4b2-4fe8-87fc-3d03eedadc97.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城 南区 有大平台花园 全新装修未住 看房随时,355万,低楼层                                    (共17层)                                                                      | 2007年建 |                                3室2厅 | 91平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_69bGVXzKJ_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城 北区 南向 两房 带入户花园 户型 方正,229万,中楼层                                    (共12层)                                                                      | 2008年建 |                                2室1厅 | 79.9平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OYWWrEr9R.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,设计之都旁南北对流两房,14号线鹤南站,183万,中楼层                                    (共5层)                                                                  2室1厅 | 64.1平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Z3Qfi5hQ2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城南区  户型方正，带露台，价格比较合适,285万,中楼层                                    (共18层)                                                                      | 2005年建 |                                2室2厅 | 96平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_xn6elF5By.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,中高楼层，视野好，装修保养好，安静舒适,372万,高楼层                                    (共18层)                                                                      | 2005年建 |                                3室2厅 | 123.95平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_dH7kflFoZ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,一楼南向复式，带花园院子，采光通风效果好,438万,低楼层                                    (共16层)                                                                      | 2007年建 |                                4室2厅 | 84.47平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_cc7SKics5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,带入户花园，居住舒适大三房，格局好3+1户型,368万,低楼层                                    (共18层)                                                                      | 2007年建 |                                4室2厅 | 119.23平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_UQAZRm89S_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 南向复式 超高实用率,630万,高楼层                                    (共18层)                                                                      | 2009年建 |                                5室1厅 | 149.33平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_WxJWHqhup.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,温馨复式，精装修保养好，采光好利用率高,350万,高楼层                                    (共17层)                                                                      | 2007年建 |                                4室2厅 | 90.84平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_D2FbBi41j.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,户型方正，精装修，视野开阔，安静舒适,210万,低楼层                                    (共12层)                                                                      | 2008年建 |                                2室1厅 | 79.66平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_pFNnI13iB.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,广州富力城 带入户花园 有平台2+1户型,260万,低楼层                                    (共18层)                                                                      | 2005年建 |                                2室1厅 | 90.51平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_563FdTLQi.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城 南区 望花园 精装 复式,440万,高楼层                                    (共18层)                                                                      | 2009年建 |                                4室2厅 | 125.22平米                                  | 西北 东北,http://ke-image.ljcdn.com/440100-inspection/pc1_L302qpq3a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,户型方正，格局好，楼层好，采光充足，保养好,380万,高楼层                                    (共17层)                                                                      | 2008年建 |                                4室1厅 | 81.79平米                                  | 西北,http://ke-image.ljcdn.com/440100-inspection/pc1_m3VEP1goh.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,品质复式，,户型方正，视野宽阔，采光充足,388万,高楼层                                    (共18层)                                                                      | 2007年建 |                                4室2厅 | 110.6平米                                  | 西北,http://ke-image.ljcdn.com/440100-inspection/pc1_yWLCDtEBS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城 复式 改成三层 二楼三个房间都是平层，带平台,550万,高楼层                                    (共18层)                                                                      | 2007年建 |                                6室2厅 | 114.8平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/prod-c10b305c-4925-4938-a6d0-ba8ee0b2d03b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城南区 5室2厅 西北新上,360万,高楼层                                    (共16层)                                                                      | 2007年建 |                                5室2厅 | 92.02平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_h70Ita6TZ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城北区 望花园两房 保养好 视野开阔新上,220万,中楼层                                    (共17层)                                                                      | 2009年建 |                                2室2厅 | 79.46平米                                  | 西,http://ke-image.ljcdn.com/440100-frame/74f83af0-5208-425b-b73b-f0c41c066596.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格三房，户型方正，小区安静舒适，采光通风好,345万,中楼层                                    (共13层)                                                                      | 2013年建 |                                3室2厅 | 99.09平米                                  | 南,http://ke-image.ljcdn.com/440100-frame/23b6876d-1b6b-4ade-825e-7e4a2e60c169.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城南区 2室1厅 北,215万,低楼层                                    (共18层)                                                                      | 2007年建 |                                2室1厅 | 84.15平米                                  | 北,http://ke-image.ljcdn.com/hdic-frame/prod-e6a0cc12-947f-4b5b-b810-8568b93d3e8c.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,西北向两房，装修保养好，安静舒适,248万,中楼层                                    (共18层)                                                                      | 2007年建 |                                2室1厅 | 83.72平米                                  | 西北,http://ke-image.ljcdn.com/440100-frame/3fd76fc9-9bcf-4f12-80f7-54c717082cf3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格 交通方便 格方正 通风采光,338万,中楼层                                    (共24层)                                                                      | 2013年建 |                                2室1厅 | 91.2平米                                  | 北,http://ke-image.ljcdn.com/440100-frame/d3714fb4-397e-4589-8f5a-6b055fea84d5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,西北向五房    保养好 安静舒适,610万,低楼层                                    (共17层)                                                                      | 2010年建 |                                5室1厅 | 174.51平米                                  | 西北,http://ke-image.ljcdn.com/hdic-frame/276ad335-4453-46fb-8f58-c8e3206dc024.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,光线充足，中高楼层，精装修，视野开阔,230万,中楼层                                    (共18层)                                                                      | 2006年建 |                                2室2厅 | 83平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/e5b33d3a-716a-44f0-a4c3-9cc6122bbc31.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,富力城 北区 两房 东南向 望花园 安静新上,230万,中楼层                                    (共18层)                                                                      | 2009年建 |                                2室1厅 | 76.84平米                                  | 东南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,白云,夏茅,满五唯一，无抵押，带平台，交通便利，户型方正,250万,低楼层                                    (共17层)                                                                      | 2008年建 |                                2室1厅 | 83.25平米                                  | 西北,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,白云,夏茅,此房视野宽阔，楼层好，保养装修好,240万,高楼层                                    (共12层)                                                                      | 2009年建 |                                2室2厅 | 80.06平米                                  | 北,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,白云,夏茅,南向小三房  中高楼层  户型方正 采光通风效果好,300万,高楼层                                    (共12层)                                                                      | 2009年建 |                                3室2厅 | 93.59平米                                  | 南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,白云,夏茅,富力城南区 高层望湖复式 保养好 户型棒,380万,高楼层                                    (共18层)                                                                      | 2007年建 |                                4室2厅 | 84.45平米                                  | 东北,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,白云,夏茅,富力城正南向北区小三房，户型方正，居住舒适,300万,低楼层                                    (共18层)                                                                      | 2009年建 |                                3室2厅 | 95.6平米                                  | 东南 南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,白云,夏茅,东南向两房，高层望花园，户型方正,210万,中楼层                                    (共18层)                                                                      | 2009年建 |                                2室1厅 | 77平米                                  | 东南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,白云,夏茅,富力城南区 正南向格局好  大入户 安静舒适 户型方正,520万,低楼层                                    (共15层)                                                                      | 2007年建 |                                4室2厅 | 141.84平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_I4bZO0ME1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格 设计之都旁 大四房 精装修 电梯高层,550万,低楼层                                    (共24层)                                                                      | 2013年建 |                                4室1厅 | 143.14平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_88AZN1ZlK.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格 满五唯一 朝向好 光线足 格局好 精致装修,160万,中楼层                                    (共24层)                                                                      | 2013年建 |                                1室1厅 | 44.98平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_nMMtdsE5F.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,望花园安静，户型方正，业主诚心卖,283万,低楼层                                    (共16层)                                                                      | 2007年建 |                                3室2厅 | 93.03平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_XcIvwLcd8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格  朝向好 通风光线足 格局好 精致装修,160万,中楼层                                    (共24层)                                                                      | 2013年建 |                                1室1厅 | 48.32平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_PIDwHd0QO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,白云,夏茅,都市品格   2012次新小区  精装一房  地铁14号线鹤边,160万,中楼层                                    (共24层)                                                                      | 2013年建 |                                1室1厅 | 48.32平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_O5kOwYz7T_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
