20210126,天河,棠下,南北对流东向单边位天台带大花园近地铁精装正规两房必看好房,148万,高楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 55.5平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ZYJqOKk6A_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,春江花园电梯中高楼层小三房单边位采光视野好 近地铁必看好房,319万,中楼层                                    (共16层)                                                                      | 2000年建 |                                3室1厅 | 78平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_SP6jA8Hgp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,小三房，户型方正，视野开阔，采光通风好必看好房,340万,中楼层                                    (共16层)                                                                      | 2000年建 |                                3室1厅 | 83平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_UAn5kNpep_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 小户型 视野好 光线足,98万,高楼层                                    (共9层)                                                                      | 2000年建 |                                1室1厅 | 27.67平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_wU6nTOFCp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南向二房  近地铁  有设计感  业主诚心卖,175万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 56平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_qZakuJTSR.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,骏景花园 3室2厅 南 北,700万,低楼层                                    (共13层)                                                                      | 2000年建 |                                3室2厅 | 102.91平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_KaXvPJ1i4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,近地铁，五明户型，光线好，寻找有缘人,195万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 52.61平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_x4QtsVtpL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 3室1厅 东南,262万,高楼层                                    (共9层)                                                                      | 1997年建 |                                3室1厅 | 89平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_F3nHN63r5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,户型方正，功能间分区明确，视野采光通风好,188万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 58.17平米                                  | 南 北,http://ke-image.ljcdn.com/440100-inspection/prod-88174a18-ddd4-4c93-bfe3-cd57c2d9bf4b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 低楼层 舒适两房 使用率高 通风好,172万,低楼层                                    (共9层)                                                                  2室1厅 | 56.27平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/pc1_mq5YwnAR3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,中间楼层，户型方正，采光好，两个大阳台必看好房,205万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 60平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_sDPidfd4y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,精装2房 带全屋家电家私 户型方正 低楼层,230万,中楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 65.74平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_BJYseLV7L_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园  双阳台设计 南北通透 业主诚心出售,228万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室2厅 | 62.15平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_rDT5rVpH9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,房子门口带小花园，东南向好户型,200万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室2厅 | 60.63平米                                  | 南 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_qjSP23Vb4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园电梯两房 南北对流 采光好 业主自住保养好,242万,低楼层                                    (共29层)                                                                      | 1997年建 |                                3室1厅 | 70.98平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_lJBKnkz97_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,春江花园精装大两房电梯中高楼层户型方正采光好近地,340万,高楼层                                    (共16层)                                                                      | 2000年建 |                                2室1厅 | 77.27平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_WaHU50N3r_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,骏景南北对流三房、安静望花园，业主诚心出售,680万,低楼层                                    (共12层)                                                                      | 2000年建 |                                3室2厅 | 103.03平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_i5laSaFNy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,过五年唯一低税费 精装修拎包入住 单边位视野开阔,210万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 60.37平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_Dq4mXw6tI.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠东地铁口 三房适合年轻人居家自住 一步到位,210万,低楼层                                    (共9层)                                                                      | 2000年建 |                                3室2厅 | 68.5平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_FtRXlzLHz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,万家灯火。终有属于您的那一盏。,228万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 61.76平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_YcqkGzud9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,近地铁高楼层采光好，房屋干净.,185万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 56.11平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_gCVbQ8WpD.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,厅出阳台，采光充足，全明格局，实用率高,190万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 52.48平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_I1iK80e7e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,地铁棠东站旁 棠德花园两房一厅,175万,高楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 55.77平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_HWqRlzwiB.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南向， 厅出阳台，无户口，可迁入,210万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 56.78平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ggw6mFgOL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,带15平方大平台，厅出阳台 户型方正 满五年,200万,低楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 60.34平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_2nqANbJst_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,满五年唯一物业 税费少 南向两房,249万,中楼层                                    (共9层)                                                                      | 1999年建 |                                2室1厅 | 76平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_dHpwZEGaZ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,阳光假日园 中高层两房 厅直出阳台必看好房,500万,中楼层                                    (共16层)                                                                      | 2009年建 |                                2室2厅 | 78.29平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_aVkAeoWgx.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,检察院宿舍安静温馨小区电梯三房,510万,高楼层                                    (共9层)                                                                      | 2001年建 |                                3室2厅 | 90.69平米                                  | 东南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_sdKSPoJ0v_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,迎翠春庭实用一房 南北对流  通风采光好 总价低,120万,高楼层                                    (共9层)                                                                      | 2000年建 |                                1室1厅 | 34.3平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_kGOUfVTtr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,骏景南向精装修两房，拎包入住读公立幼儿园，诚心出售,520万,低楼层                                    (共10层)                                                                      | 2000年建 |                                2室1厅 | 75.75平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_S16fMjfqq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,直厅出阳台，户型方正，大飞机户型，地铁近，罕见,305万,中楼层                                    (共9层)                                                                      | 1997年建 |                                3室2厅 | 84.58平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_IGJ2iGwXT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 2室1厅 南 北,218万,低楼层                                    (共29层)                                                                      | 1997年建 |                                2室1厅 | 69.77平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_ox09zwhoI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 低层南向一居室  望小区花园,152万,低楼层                                    (共10层)                                                                      | 1997年建 |                                1室1厅 | 42.67平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Sz711sIZH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 2室1厅 南,225万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 64.14平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_wAuvmH5f5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠东地铁口 南向大两房 户型方正 采光通风好,388万,低楼层                                    (共16层)                                                                      | 2000年建 |                                2室2厅 | 90.88平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_IHcNSMaxo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,21号线棠东地铁口春江花园高层一房。通风采光好。,210万,高楼层                                    (共18层)                                                                      | 2000年建 |                                1室1厅 | 50.23平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_bVufPxBZa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,骏景花园合生骏景广场 1室0厅 南,223万,高楼层                                    (共21层)                                                                      | 2017年建 |                                1室0厅 | 56.6平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_yHXxtFHiL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 电梯两房 满五年唯一 免个税 交通便利,213万,中楼层                                    (共29层)                                                                      | 1997年建 |                                2室1厅 | 71平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_mnHANodRN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 2室1厅 西南,220万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 64.22平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_nI9kyKL5O_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 2室1厅 西北,200万,高楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 65.62平米                                  | 西北,http://ke-image.ljcdn.com/110000-inspection/pc1_cnUf9kwY4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 低楼层一房 过五唯一 户型方正 位置好,200万,低楼层                                    (共9层)                                                                      | 1997年建 |                                1室1厅 | 53.62平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_bVQiY668Z_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,中楼层 三房 满五唯一 省税费 保养好棠德花园 21号线,320万,中楼层                                    (共9层)                                                                      | 2000年建 |                                3室1厅 | 89.07平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_NhDSE1WwG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,离地铁口近 交通方便 户型方正 格局好新上,335万,低楼层                                    (共16层)                                                                      | 2000年建 |                                2室1厅 | 83.79平米                                  | 北 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_FvOfVpvyC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,准电梯房，次顶楼，高楼层，户型方正新上,170万,高楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 55.77平米                                  | 东 西,http://ke-image.ljcdn.com/110000-inspection/pc1_AeTtP44A8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德原装电梯两房，户型方正，实用率高，采光好,245万,低楼层                                    (共29层)                                                                      | 1997年建 |                                2室1厅 | 70.98平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_EH5If0R93_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南国嘉居 2室1厅 东南,354万,中楼层                                    (共6层)                                                                      | 2001年建 |                                2室1厅 | 78平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_AxLq5UXuS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园中层四房 少有放卖户型 近地铁 业主换房急卖,320万,中楼层                                    (共9层)                                                                      | 1997年建 |                                4室1厅 | 97.85平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/pc1_I6SgZVfHq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,泰安花园 电梯两房 近地铁口 视野开阔 诚意出售,320万,中楼层                                    (共27层)                                                                      | 2012年建 |                                2室1厅 | 74.6平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_1wb5PKO5I_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,方正两房，小区管理，户型方正，满五唯一，配套成熟,210万,低楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 65.62平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_Z03sjlhP7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,春江花园，高层视野开阔，采光通风好，户型方正大两房,420万,中楼层                                    (共16层)                                                                      | 2000年建 |                                2室1厅 | 83.79平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_EQ76sc67z.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,南向精致单间，满五唯一，户型方正,130万,中楼层                                    (共18层)                                                                      | 2001年建 |                                1室0厅 | 25.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_lgCVHSH8X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,中间楼层，精装修，拎包入住，适合刚参加工作的年轻人必看好房,166万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 53.68平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_uRIk2iUQe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,北向  低楼层   带后花园  户型方正,265万,低楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 61.68平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Ycg60zShY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,近金融城智慧城棠东地铁站 中高层南向三房 采光通风好,310万,高楼层                                    (共9层)                                                                      | 1997年建 |                                3室1厅 | 86.33平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_1eV6kjLtD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,迎翠春庭优质房源，交通出行方便，配套齐全必看好房,105万,高楼层                                    (共9层)                                                                      | 2000年建 |                                1室1厅 | 35.63平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_mihfhMB6l_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,5楼好户型，业主自住装修花了很多心思。,135万,中楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 35.63平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_7dtJiAlnK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,此房无抵押，创造空间大，没有浪费，价格可谈,155万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 53.62平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_NKCKJNHJK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 精装修 南向两房 采光通风好 交通便利,199万,中楼层                                    (共9层)                                                                      | 2000年建 |                                3室1厅 | 56.25平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_RAx8qw7SK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,实用率高 安静采光好 户型方正 总价低,190万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 60.34平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_2f4jO0txc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,近金融城 棠东地铁 电梯大两房 户型方正,250万,低楼层                                    (共29层)                                                                      | 1997年建 |                                2室1厅 | 77平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_UyJCKVzki_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,金融城旁，精装两房，生活便利。,248万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 59.84平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_rT2EN1DeL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,此房户型方正实用，低楼层，通风好,195万,中楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 56.12平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Ygd55zYCd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,检察院宿舍  实用三房 户型方正 安静 交通便利,468万,中楼层                                    (共9层)                                                                      | 2001年建 |                                3室2厅 | 90.7平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_aoM2JACqJ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,89平，精装修，中间楼层不到三万的单价，满五唯一必看好房,253万,中楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 89.08平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_E5s23Geia_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,全明格局，厨卫分离，采光无遮挡,194万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 56.52平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_6U05jK8xJ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,准电梯房 已经在施工 楼梯价格买电梯房 欲购从速,175万,高楼层                                    (共9层)                                                                      | 1998年建 |                                2室1厅 | 46.23平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_R9uHIuCPT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,阳光假日园 地铁方便 厅出阳台大两房 户型方正,429万,高楼层                                    (共18层)                                                                      | 2009年建 |                                2室2厅 | 73.38平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_wYdiV2kSG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,满五唯一，低楼层，户型方正，厅出阳台无遮挡，采光好,208万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 58.17平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_Fi2qkK4GG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 南向精装两房 有设计感 采光通风好,188万,高楼层                                    (共9层)                                                                      | 2000年建 |                                2室1厅 | 56.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_VGfUcqaEx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 精装两房 望花园 视野开阔 位置安静,195万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 63.31平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_KCOOStDal_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,天河市棠东，金融城旁，享有便利交通，良好教育。,198万,中楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 62平米                                  | 西南 西,http://ke-image.ljcdn.com/110000-inspection/pc1_tCpNogyYZ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,全新精装修，南北对流，满五唯一,218万,高楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 62.15平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ViYLkbGnl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 精装一房 南北对流 优质采光 业主诚意出售,155万,中楼层                                    (共9层)                                                                      | 1997年建 |                                1室1厅 | 43平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_s0HJDjtnm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,带大花园南向精装小三房精装保养好,198万,高楼层                                    (共9层)                                                                      | 1997年建 |                                3室1厅 | 56.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_NGuDBTYGT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,房间位于棠德花园 正规两房 户型方正 安静不吵,230万,低楼层                                    (共29层)                                                                      | 1997年建 |                                2室1厅 | 69.77平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_uiwE1PIuE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 精装两房 全屋家电 业主急售 购价格可谈必看好房,129万,高楼层                                    (共10层)                                                                      | 1997年建 |                                2室1厅 | 44平米                                  | 南 西,http://ke-image.ljcdn.com/110000-inspection/pc1_qtpEAxP6c_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,阳光假日园 户型方正 厅直出阳台 层高三米必看好房,338万,低楼层                                    (共11层)                                                                      | 2009年建 |                                2室1厅 | 71.38平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/pc1_CLDynpdr3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,车陂阳光假日园高层南向三房，等你约看,657万,高楼层                                    (共18层)                                                                      | 2009年建 |                                3室1厅 | 91.87平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/prod-f8481be7-ef74-4e0a-bf93-8bc6f4756eec.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园电梯两房，采光通风好，交通方便，飞机户型,252万,中楼层                                    (共29层)                                                                      | 1997年建 |                                2室1厅 | 70.98平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_jn2Z1CmXt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,天河,棠下,棠德花园 业主置换 满五唯一 刚需两房户型,208万,低楼层                                    (共9层)                                                                      | 1997年建 |                                2室1厅 | 61.84平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_pbEB0HEyd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
