20210126,荔湾,汾水,精装小两房，高层视野开阔，配套完善,140万,高楼层                                    (共9层)                                                                      | 1996年建 |                                2室2厅 | 57.11平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_x10YpcvVF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,此房满五年唯一，格局方正实用，房屋通风，光线好,223万,高楼层                                    (共9层)                                                                      | 1996年建 |                                3室1厅 | 82.69平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_EoVMeW5jd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,业主诚心出售  过五唯一 金兰苑精装两房,245万,高楼层                                    (共18层)                                                                      | 2001年建 |                                2室1厅 | 87.31平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_rpC9ITWw4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,楼层好，视野宽阔，采光充足，精装修。,185万,中楼层                                    (共9层)                                                                      | 1996年建 |                                2室1厅 | 60.6平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_9nimgfRJS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,交通方便 ，户型方正 ， 小区绿化环境好,110万,高楼层                                    (共9层)                                                                      | 2001年建 |                                1室1厅 | 38.2平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_ub2LPBKiv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,鸿图苑 高层三房一厅  双阳台单位 满五年 唯一物业,240万,高楼层                                    (共9层)                                                                      | 1995年建 |                                3室2厅 | 87.05平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_pM3zojOsn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,一号线花地湾地铁站，万科板块温馨大三房，光线充足,242万,高楼层                                    (共9层)                                                                      | 1995年建 |                                3室2厅 | 87.49平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_TC6ugFcn9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,芬芳小区 南向望花园 证够5年 间隔方正,186万,高楼层                                    (共9层)                                                                      | 1996年建 |                                2室1厅 | 60.64平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_87Zw4EHOA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,芬芳小区三房厅出阳台靓户型。业主诚心出售，欢迎约看,208万,高楼层                                    (共9层)                                                                      | 1996年建 |                                3室1厅 | 82.74平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZCAPGwlGi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,业主自住精装预装电梯三房，交通便利位置好。,260万,高楼层                                    (共9层)                                                                      | 1996年建 |                                3室2厅 | 90.21平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_Wgfc1a5xE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑优质三房 产权清晰 业主诚心出售,295万,中楼层                                    (共22层)                                                                      | 2001年建 |                                3室2厅 | 91.85平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_zo0Iatdfh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,加装电梯 户型方正 南向 装修新净 小区绿化环境好,103万,中楼层                                    (共9层)                                                                      | 2001年建 |                                1室1厅 | 40.3平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_LUup9VQ9C_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,交通方便 户型方正 装修新净 小区绿化环境好,120万,低楼层                                    (共9层)                                                                      | 2001年建 |                                1室1厅 | 45.53平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ob3rMQ3DC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑全明屋电梯三房 明星户型 配套齐全,179万,高楼层                                    (共9层)                                                                      | 2001年建 |                                3室1厅 | 65平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_pYeaDIVSF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,过五年 原装实用大2房 免重税 楼层好  刚需置业之选,195万,中楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 67.74平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_fcN4lHql4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,电梯两房，南向望花园，居家刚需上车房源,178万,高楼层                                    (共9层)                                                                      | 2001年建 |                                2室1厅 | 61.56平米                                  | 南 西,http://ke-image.ljcdn.com/110000-inspection/pc1_q8qpos9dr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑 电梯三房单位 双阳台 满五年 唯一物业,290万,高楼层                                    (共22层)                                                                      | 2001年建 |                                3室1厅 | 107平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_iCk3xKTfD_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,户型方正，通风采光良好 安静舒适,156万,中楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 55.04平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_ZKruYtdgH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑 2室2厅 西,280万,中楼层                                    (共22层)                                                                      | 2001年建 |                                2室2厅 | 98.01平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_UgAPnNWW5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,电梯房 物业费只要3毛 生活成本低 东南向,195万,中楼层                                    (共9层)                                                                      | 1995年建 |                                2室2厅 | 66.76平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_oO9oAtCec_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑，电梯高层南北通2房87平米，业主自住，保养好,248万,中楼层                                    (共18层)                                                                      | 2001年建 |                                2室2厅 | 87.33平米                                  | 北 南,http://ke-image.ljcdn.com/110000-inspection/pc1_C3KpjLBg2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,鸿图苑 满五 电梯中层 南向精装修 户型方正必看好房,224万,高楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 78.29平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_7P4UlEFFf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,双阳台，厅出阳台，房出阳台，三房经典户型,292万,中楼层                                    (共22层)                                                                      | 2001年建 |                                3室2厅 | 106.76平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_zISsHce3Y_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,户型方正三房 够5年唯一 配套完善，小区管理， 望花园,212万,高楼层                                    (共9层)                                                                      | 1996年建 |                                3室1厅 | 82.69平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_cALKq2j0S_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑剑兰大厦户型方正，采光 通风好，生活方便,370万,低楼层                                    (共22层)                                                                      | 2001年建 |                                3室2厅 | 117.88平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_YASXTNqsR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,东安苑 南向三房全明户型 采光通风棒,208万,中楼层                                    (共9层)                                                                      | 1995年建 |                                3室1厅 | 89.31平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_E1xua4uUe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,鸿图苑小区、配套成熟，江边风景，宜居！,150万,低楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 52.38平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_jPGpEzXlI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,芬芳小区 两房单位 配套完善 方正户型 业主诚意出售必看好房,173万,低楼层                                    (共9层)                                                                      | 1996年建 |                                2室1厅 | 60.82平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_to4CO10eE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,生活便利，配套完善，小区管理，通风对流,275万,中楼层                                    (共9层)                                                                      | 1995年建 |                                3室1厅 | 87.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_F24THddfV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,低层单位  少有放盘  间隔方整,118万,低楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 43.91平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_aTHiF6LiS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑电梯三房  园景单位，采光好 格局方方正正,285万,中楼层                                    (共18层)                                                                      | 2001年建 |                                3室1厅 | 87.33平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_7w8s5sR6H_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,原装高层电梯 大户型4房1厅 东南向单位  采光充足,320万,高楼层                                    (共22层)                                                                      | 2001年建 |                                4室1厅 | 117.88平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_rD4JfvFWn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,电梯高层  南向望远景  少有放盘,360万,中楼层                                    (共22层)                                                                      | 2001年建 |                                2室2厅 | 117.8平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-3f3cfd94-4612-45f0-8193-5209888db095.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,中低层，方正两房，交通便利，正过两年,175万,中楼层                                    (共9层)                                                                      | 1996年建 |                                2室1厅 | 59平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_3nljmjIey_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,包含30平方的平台使用 五年唯一单位 南北对流,188万,低楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 69.52平米                                  | 东,http://ke-image.ljcdn.com/440100-inspection/prod-7777f007-97bd-48c6-ac2d-ead4bf3f70d6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,剑兰大厦 原装电梯 117平方 三房两厅双阳台 采光充足,308万,中楼层                                    (共22层)                                                                      | 2001年建 |                                3室2厅 | 117.88平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_5AauYMV6E_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,茶窖路 装修好房 位置好 中间楼层 拎包入住,300万,中楼层                                    (共9层)                                                                      | 1986年建 |                                3室1厅 | 95平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_QFIn83QCp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑 交通方便 户型方正 南向望花园 小区绿化环境好,288万,低楼层                                    (共22层)                                                                      | 2001年建 |                                3室2厅 | 106平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/pc1_5myOOqXjf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑，加装电梯小户型，东南向，成熟社区,126万,中楼层                                    (共9层)                                                                      | 2001年建 |                                1室1厅 | 44.52平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/pc1_qMGAMtjIm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑 配套齐全 环境优美 舒适度高,260万,中楼层                                    (共22层)                                                                      | 2001年建 |                                2室2厅 | 87.31平米                                  | 东,http://ke-image.ljcdn.com/440100-inspection/pc1_alanSqtwm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,过五年  原装两房 免重税，南向园景，刚需置业之选,160万,高楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 58平米                                  | 东,http://ke-image.ljcdn.com/440100-inspection/pc1_J6MiKZFv0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,茶滘公寓 过五非唯一 东南向全明房,180万,高楼层                                    (共8层)                                                                      | 1998年建 |                                2室1厅 | 62.12平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/pc1_uf0okvQu8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,精装原装三房 望花园 无遮挡 业主急卖,176万,高楼层                                    (共9层)                                                                      | 1996年建 |                                3室1厅 | 76.03平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_5cv4gw9x3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑 电梯原装三房 东南向 单边位,280万,中楼层                                    (共18层)                                                                      | 2001年建 |                                3室2厅 | 92平米                                  | 东 东南,http://ke-image.ljcdn.com/440100-inspection/prod-0ca7fc45-acde-49b4-8fdf-4554911d556c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,芬芳小区 实用3房 保养新净 看房方便,200万,中楼层                                    (共9层)                                                                      | 1996年建 |                                3室2厅 | 82.5平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-23056bdb-7a04-4ab5-b30e-d6a43542f0f1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,园林小区 绿化好 户型方正 采光好,154万,高楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 61.4平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_oWimkWiGB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,汾水小区金兰苑 中楼层电梯二房 全明户型 大型社区,230万,中楼层                                    (共22层)                                                                      | 2001年建 |                                2室1厅 | 87.33平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-9272f906-ecb9-49e6-a0ac-9f638f36f81a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,芬芳小区 交通便利 生活配套齐全,135万,高楼层                                    (共9层)                                                                      | 1996年建 |                                1室1厅 | 52平米                                  | 西北,http://ke-image.ljcdn.com/440100-inspection/pc1_hWPiKkQwF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,户型方正  交通便利  花园小区,220万,中楼层                                    (共9层)                                                                      | 1995年建 |                                2室2厅 | 87平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ixW7TTDxT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑  精装电梯三房 全明屋 双地铁 大型小区管理,245万,高楼层                                    (共22层)                                                                      | 2001年建 |                                3室2厅 | 88平米                                  | 西北 北,http://ke-image.ljcdn.com/440100-inspection/prod-6c4a3210-f1f3-4832-b624-0938ec8fdb99.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,安静小区 交通便利 户型方正 采光装修好,168万,低楼层                                    (共9层)                                                                      | 2001年建 |                                1室1厅 | 51平米                                  | 西,http://ke-image.ljcdn.com/110000-inspection/pc1_PPHtzehtQ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑两房51方新装修保养好小区配套成熟,145万,中楼层                                    (共9层)                                                                      | 2001年建 |                                2室1厅 | 50.87平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-cb40c2e2-0f0e-4a6c-9e6a-b482ce4916fe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰大厦 住家装修 格局方正 高层电梯三房,260万,高楼层                                    (共18层)                                                                      | 2001年建 |                                3室2厅 | 100.87平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_QdSiuGtSG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑小区精装两房   过五唯一,230万,低楼层                                    (共22层)                                                                      | 2001年建 |                                2室1厅 | 87.33平米                                  | 北,http://ke-image.ljcdn.com/110000-inspection/pc1_g4h7SndFv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,东南单边位，方正三房，满五年 免重税,220万,中楼层                                    (共7层)                                                                      | 2001年建 |                                3室1厅 | 76.48平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_VrmaRTCIC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,电梯两房  东南向单位  交通方便 普通装修 户型方正,280万,中楼层                                    (共22层)                                                                      | 2001年建 |                                2室1厅 | 87.32平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_MnxqOH0SH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,金兰苑 一房一厅 上车房 80万必看好房,77万,中楼层                                    (共9层)                                                                      | 2001年建 |                                1室1厅 | 30.29平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_sHZ74QJbE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,此房满五年 唯一，户型方正，采光 通风好，生活方便,320万,低楼层                                    (共18层)                                                                      | 2001年建 |                                3室1厅 | 87.32平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_R4CeaMl6q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,芬芳小区 正规两房 低层 户型方正,172万,低楼层                                    (共9层)                                                                      | 1996年建 |                                2室1厅 | 63.63平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_5qXAdRozY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,车位紧缺小区 少有放盘 地下车库 防晒防雨防刮车,19.8万,地下室                                                                  1室0厅 | 10.12平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/2a812e3f-3ed2-4671-95e5-fec762aba3b5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,鸿图苑小区 地下车位 诚意出售 少有放盘,24万,地下室                                                                  1室0厅 | 10.12平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/2591a998-fcb9-4015-9127-58f2c7a68319.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,鸿图苑：低层两房，出行方便，税费低，配套齐全,179万,低楼层                                    (共9层)                                                                      | 1995年建 |                                2室2厅 | 64.05平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/16669a12-81b5-48bc-bf7c-406d027cb33a.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,装修保养好 配套齐全 地铁600米 高楼层采光好,250万,高楼层                                    (共22层)                                                                      | 2001年建 |                                3室1厅 | 87.42平米                                  | 东北,http://ke-image.ljcdn.com/440100-inspection/114c454b-f929-40be-9cbc-17a5e7289dca.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,汾水,户型方正，电梯两房，小区环境好新上,220万,中楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 77.13平米                                  | 东南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,荔湾,汾水,此套房满2年 唯一，精装修， 户型方正，通风采光,154万,低楼层                                    (共9层)                                                                      | 1995年建 |                                2室1厅 | 53.24平米                                  | 东,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,荔湾,汾水,交通方便 户型方正 装修新净 小区绿化环境好,285万,低楼层                                    (共32层)                                                                  3室2厅 | 82.26平米                                  | 南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,荔湾,汾水,剑兰大厦 电梯三房 免二次装修,338万,低楼层                                    (共22层)                                                                      | 2001年建 |                                3室2厅 | 107平米                                  | 北,http://ke-image.ljcdn.com/440100-inspection/6968a7f7-7984-4e2c-8266-4b7646ee6fe5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
