20210126,荔湾,西朗,金鹤苑 满5唯一 3房西南方向 近地铁  环境舒适,193万,中楼层                                    (共7层)                                                                      | 2000年建 |                                3室1厅 | 73平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_8Wu9T2CO9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,小区管理，视野好，户型方正，温馨三房,175万,高楼层                                    (共7层)                                                                      | 2000年建 |                                3室1厅 | 66.6平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_3iJv7hJvk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,交通方便 ，配套完善，小区楼龄新,123万,低楼层                                    (共28层)                                                                      | 2010年建 |                                2室1厅 | 78.11平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_04Pb4Uvqt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,元邦明月水岸满二物业，3房南向望江，近地铁，精装修,435万,高楼层                                    (共30层)                                                                      | 2015年建 |                                3室2厅 | 113.76平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_c4rfKBwBq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,金鹤苑小区 旺中带静 花香鸟语 配套完善,163万,高楼层                                    (共7层)                                                                      | 2006年建 |                                2室2厅 | 66.6平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_MTn2YJTr9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,元邦明月水岸 楼龄新 自住装修保养好,388万,中楼层                                    (共30层)                                                                      | 2015年建 |                                3室2厅 | 104.1平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/pc1_9dMoZ8orA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,芳华都汇 可明火 大两房飘窗大采光通明,169万,中楼层                                    (共28层)                                                                      | 2010年建 |                                2室2厅 | 86.86平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_xTfCelBy5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,三房两厅两卫一阳台，与新房无异,214万,中楼层                                    (共28层)                                                                      | 2010年建 |                                3室2厅 | 113.43平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_riEEn6VGk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,芳华都汇  南向 电梯精装修  业主诚心放售,98万,低楼层                                    (共28层)                                                                      | 2010年建 |                                1室1厅 | 50.18平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/pc1_Ga8aKHdhp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,元邦明月水岸 小区管理 配套成熟 交通方便,465万,高楼层                                    (共15层)                                                                      | 2015年建 |                                3室2厅 | 121.17平米                                  | 东南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_o5zK0eFoO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,电梯两房，精装修，交通便利，配套完善,168万,中楼层                                    (共28层)                                                                      | 2010年建 |                                2室2厅 | 86.69平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_FYDJ8YeMo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,1号线新净小区 金鹤苑小区精致两房,173万,高楼层                                    (共7层)                                                                      | 2000年建 |                                2室1厅 | 64.6平米                                  | 东,http://ke-image.ljcdn.com/440100-inspection/pc1_MZ5wTmCcX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,楼龄新 电梯大三房 精装修 通风采光好,508万,低楼层                                    (共30层)                                                                      | 2015年建 |                                3室2厅 | 127.82平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/pc1_itBwHUNRi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,次新房，小区封闭式管理，环境优雅,335万,低楼层                                    (共15层)                                                                      | 2015年建 |                                2室2厅 | 88.82平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_YYe8imdZE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,元邦明月水岸新楼龄电梯2房，带60平独立私家花园,满二,328万,中楼层                                    (共5层)                                                                      | 2015年建 |                                2室2厅 | 82.03平米                                  | 东,http://ke-image.ljcdn.com/440100-inspection/pc1_mflboJTJQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,金鹤苑 实用两房 小区环境优美,176万,高楼层                                    (共7层)                                                                      | 2000年建 |                                2室2厅 | 65.13平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/pc1_eUcxcOfZL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,远大芳华都汇 电梯三房 精装修 通风采光好,295万,低楼层                                    (共28层)                                                                      | 2010年建 |                                3室2厅 | 113.43平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_IROAmPvVk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,户型方正满五唯一，双阳台南北对流，低楼层温馨两房必看好房,168万,低楼层                                    (共7层)                                                                      | 2000年建 |                                2室2厅 | 64.6平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_VXdTHm47q_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,花地河湾 5室2厅 南,318万,高楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 83.48平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_CUU5T6rTN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,次新小区 楼龄新，离西朗地铁500米，配套完善 户型好,406万,中楼层                                    (共30层)                                                                      | 2015年建 |                                3室2厅 | 113平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_AIGwZp2Lf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,6房大平层100万精装修，视野通风一级棒,1500万,高楼层                                    (共30层)                                                                      | 2015年建 |                                6室3厅 | 258.92平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_cZXsYGJuP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,花地河湾复式  价格包含两个车位 高层望花园   过二,380万,高楼层                                    (共22层)                                                                      | 2009年建 |                                5室1厅 | 82.45平米                                  | 东南 东 南,http://ke-image.ljcdn.com/110000-inspection/pc1_OYNIvutEw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,中空复式住宅70年使用权，南向望江，6房单位,290万,高楼层                                    (共22层)                                                                      | 2009年建 |                                6室2厅 | 77.74平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/prod-9abc6910-be9a-43e5-b233-ab5654665177.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,花地河湾，小区环境优雅，门口交通设施便利。,310万,中楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 83.42平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_aBPFE5yBS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,中空经典复式住宅，通透采光好，使用率高，南向五房,350万,中楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 84.14平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_I3ZTdnlkR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,西塱 花地河湾 南向五房 望花地河,345万,高楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 90.22平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_QlD8EKPAP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,花地河湾 经典复式住宅 业主诚心放售必看好房,285万,高楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 81.66平米                                  | 南 北,http://ke-image.ljcdn.com/110000-inspection/pc1_qwd6ry0rK_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,中空经典复式住宅，采光好，使用率高,325万,中楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 82.45平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_mPwZOH0MJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,小区封闭式管理，楼龄新，视野开阔，采光好,295万,中楼层                                    (共22层)                                                                      | 2009年建 |                                5室1厅 | 75.18平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_5U8BGOAdy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,远大芳华都汇 精装修 采光通风好 视野宽阔,138万,高楼层                                    (共28层)                                                                      | 2010年建 |                                1室1厅 | 50.12平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/prod-ef92599c-4fc0-4074-af40-4785fdd4459d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,西朗地铁站旁，电梯可明火，户型方正,180万,中楼层                                    (共28层)                                                                      | 2010年建 |                                2室2厅 | 80平米                                  | 西南,http://ke-image.ljcdn.com/110000-inspection/pc1_XXQvUb7KC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,花地河湾南向望江复式4房，有钥匙随时可看，过5没按揭,298万,高楼层                                    (共22层)                                                                      | 2009年建 |                                4室2厅 | 76.5平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_LmtfCh2xj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,金鹤苑，小区环境舒适，带有60平米大平台,298万,低楼层                                    (共7层)                                                                      | 2000年建 |                                3室2厅 | 96.39平米                                  | 东南,http://ke-image.ljcdn.com/110000-inspection/pc1_ucyUapeDm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,花地河湾 中空复式5房2厅2卫  业主诚售 过五唯一,308万,高楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 90.22平米                                  | 南,http://ke-image.ljcdn.com/440100-inspection/pc1_t42GUepSc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,芳华都汇 电梯2房 公寓办公 西朗地铁站,135万,低楼层                                    (共28层)                                                                      | 2010年建 |                                2室2厅 | 86.69平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/pc1_GDjAleymE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,中空复式住宅70年使用权，南向望江，5房单位,300万,中楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 76.5平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/prod-93133042-fedf-495c-9d38-3e59db49c454.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,花地河湾  中空复式5房2厅2卫  高层望花园  采光好,315万,中楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 83.42平米                                  | 西北,http://ke-image.ljcdn.com/440100-inspection/prod-1679a3de-4b29-494e-bdfc-18ef4ed846d7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,电梯两房，精装修，交通便利，户型方正，带独立阳台,220万,低楼层                                    (共28层)                                                                      | 2010年建 |                                2室1厅 | 89平米                                  | 东南,http://ke-image.ljcdn.com/440100-frame/811cae7e-03fa-4f61-b4b1-6851e68c93f9.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,楼龄新，离西朗地铁500米，配套完善 户型好,502万,低楼层                                    (共30层)                                                                      | 2015年建 |                                3室2厅 | 129.77平米                                  | 东,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,荔湾,西朗,近西朗地铁站，明月水岸 ，A区子母车位,49.9万,地下室                                                                  1室0厅 | 23平米                                  | 东,http://ke-image.ljcdn.com/110000-inspection/a078dd8e-875d-47a2-94e9-bce2347c2282.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,中空复式住宅70年使用权，南向望江，5房,400万,中楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 90平米                                  | 西南,http://ke-image.ljcdn.com/440100-frame/f74bb203-bc8f-4d94-9207-b1e24ba1da88.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,元邦明月水岸  精装修三房 楼龄新 业主诚心放卖,400万,低楼层                                    (共30层)                                                                      | 2015年建 |                                3室1厅 | 113.76平米                                  | 西南,http://ke-image.ljcdn.com/hdic-frame/standard_ee0f705f-bf10-4f2d-b8b6-dc10ebab3b6d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,中空复式住宅，中层望花园，电梯5房离地铁850米,325万,中楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 83.42平米                                  | 西北,http://ke-image.ljcdn.com/440100-inspection/b36274e1-5c14-41ed-85f0-cd8ed971dc44.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,花地河湾 中空复式住宅 双地铁,360万,中楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 90.22平米                                  | 西南,http://ke-image.ljcdn.com/440100-inspection/af4c76ca-f47c-40b1-8836-5ef7647a7f1b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,元邦明月水岸楼层好，采光好，保养新,450万,中楼层                                    (共15层)                                                                      | 2015年建 |                                3室2厅 | 120.23平米                                  | 西南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,荔湾,西朗,花地河湾 稀有实用电梯复式五房 中层单位 户型方正,324万,低楼层                                    (共22层)                                                                      | 2009年建 |                                5室2厅 | 90.28平米                                  | 东南,http://ke-image.ljcdn.com/440100-inspection/prod-8d09c8a5-3e39-48d1-a7ea-2265df5e4cb3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,荔湾,西朗,元邦明月水岸 东向2房 5年楼龄 封闭小区,330万,低楼层                                    (共15层)                                                                      | 2015年建 |                                2室2厅 | 88.81平米                                  | 东,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
